,SNBR
% Above Low,0.1996
% Held by Institutions,1.0395999999999999
52-Wk Range,['24.04 - 83.81']
Annual Dividend $,
Annual Dividend %,
Ask,28.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,28.84
Bid Size,100.0
Day Change $,-1.21
Day Change %,-0.0403
Day High,29.95
Day Low,28.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.32
Ex-dividend Date,No dividend
Historical Volatility,0.662
Last (size),100.0
Last (time),2:44p ET 11/28/22
Market Cap,635.2M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.97
Prev Close,30.05
Price,28.84
Short Interest,0.1467
Today's Open,29.58
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.3846153846153846
Growth 1yr High Est,-0.3258426966292135
Growth 1yr Consensus Est,-0.35522904062229904
Growth 2yr Low Est,-0.2704326923076923
Growth 2yr High Est,0.15652309612983767
Growth 2yr Consensus Est,-0.05695479808892731
Growth 5yr Low Est,-0.13521634615384615
Growth 5yr High Est,0.07826154806491883
Growth 5yr Consensus Est,-0.028477399044463655
Growth 5yr Actual/Est,0.14002034758613707
Growth 3yr Historic,0.267989417989418
Price/Earnings (TTM),12.97109
Price/Sales (TTM),0.31352
Price/Book (MRQ),
Price/Cash Flow (TTM),5.59658
5yr Low,15.27
5yr High,151.44
5yr Avg Return,0.0771
EPS Growth 5yr,0.4124545
Revenue Growth 5yr,0.10751200000000001
Dividend Growth 5yr,
Short Int Current Month,3069067.0
Short Int Prev Month,3138538.0
Short Int Pct of Float,0.1466595
Days to Cover,4.79459
Float,20.95945
Shares Outstanding,22.001
Institutions Holding Shares,257.0
FCF Growth 5yr,-2.679496675261579
"Price/Earnings (TTM, GAAP)",12.97
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5738000000000001
Operating Profit Margin (TTM),0.038700000000000005
Net Profit Margin (TTM),0.0252
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.855
EPS Growth (TTM),-0.703
Revenue Growth (MRQ),-0.015500000000000002
Revenue Growth (TTM),-0.06730000000000001
Return On Equity (TTM),
Return On Assets (TTM),0.058300000000000005
Return On Investment (TTM),10.379800000000001
Revenue Per Employee (TTM),382367.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.09
Interest Coverage (MRQ),2.27
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-07-21 00:00:00
theStreet since,2021-07-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
