,SNBR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.97,19.03,Valuation,0.6815554387808723
Price/Sales (TTM),0.31,1.93,Valuation,0.1606217616580311
Price/Book (MRQ),,92.12,Valuation,
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.5738000000000001,0.34390000000000004,Profitability,1.6685082872928176
Operating Profit Margin (TTM),0.038700000000000005,0.11789999999999999,Profitability,0.32824427480916035
Net Profit Margin (TTM),0.0252,0.0818,Profitability,0.30806845965770174
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.855,-0.10800000000000001,Gowth rates,7.916666666666665
EPS Growth (TTM),-0.703,0.0262,Gowth rates,-26.832061068702288
Revenue Growth (MRQ),-0.015500000000000002,0.0478,Gowth rates,-0.3242677824267783
Revenue Growth (TTM),-0.06730000000000001,0.0874,Gowth rates,-0.7700228832951946
Return On Equity (TTM),,5.2054,Effectiveness,
Return On Assets (TTM),0.058300000000000005,0.1562,Effectiveness,0.3732394366197183
Return On Investment (TTM),10.379800000000001,0.26,Effectiveness,39.9223076923077
Revenue Per Employee (TTM),382367.0,410011.0,Effectiveness,0.9325774186546215
Total Debt/Total Capital (MRQ),,0.8926999999999999,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0016,Financial strength,0.37499999999999994
Quick Ratio (MRQ),0.09,0.39,Financial strength,0.23076923076923075
Interest Coverage (MRQ),2.27,13.36,Financial strength,0.16991017964071858
