,IFF
% Above Low,0.2193
% Held by Institutions,0.9083
52-Wk Range,['83.14 - 151.86']
Annual Dividend $,3.24
Annual Dividend %,0.032
Ask,111.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,99.5
Bid Size,100.0
Closing Price,101.37
Day Change $,0.46
Day Change %,0.0046
Day High,101.45
Day Low,100.11
Dividend Pay Date,2022-10-05 00:00:00
"EPS (TTM, GAAP)",-6.88
Ex-dividend,2022-09-22 00:00:00
Ex-dividend Date,09/22/22
Historical Volatility,0.326
Last (size),292.0
Last (time),5:00p ET 11/25/22
Market Cap,25.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,100.91
Short Interest,0.0129
Today's Open,100.58
Volume,499107.0
Volume 10-day Avg,1457681.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.04355716878402904
Growth 1yr High Est,0.04042179261862899
Growth 1yr Consensus Est,-0.001567688082700025
Growth 2yr Low Est,-0.032215017029585624
Growth 2yr High Est,0.13676495036336855
Growth 2yr Consensus Est,0.052274966666891465
Growth 5yr Low Est,-0.04212376867739445
Growth 5yr High Est,0.04657306902614011
Growth 5yr Consensus Est,0.0022246501743728303
Growth 5yr Actual/Est,-0.013133467390228776
Growth 3yr Historic,-0.022113935568256138
Price/Earnings (TTM),
Price/Sales (TTM),2.04685
Price/Book (MRQ),1.53042
Price/Cash Flow (TTM),
5yr Low,83.14
5yr High,157.4
5yr Avg Return,-0.046533333333333336
EPS Growth 5yr,-0.2624015
Revenue Growth 5yr,0.3019091
Dividend Growth 5yr,0.05968
Short Int Current Month,3290657.0
Short Int Prev Month,3363253.0
Short Int Pct of Float,0.0129367
Days to Cover,1.73761
Float,254.3836
Shares Outstanding,254.9622
Institutions Holding Shares,1058.0
FCF Growth 5yr,-0.07297330131778283
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3376
Operating Profit Margin (TTM),-0.09960000000000001
Net Profit Margin (TTM),-0.1384
Annual Dividend Yield,0.032
Dividend Change %,0.0265
"Dividend Growth Rate, 3 Years",0.0345
EPS Growth (MRQ),-21.1468
EPS Growth (TTM),-6.340599999999999
Revenue Growth (MRQ),-0.0738
Revenue Growth (TTM),0.2761
Return On Equity (TTM),-0.0916
Return On Assets (TTM),-0.0467
Return On Investment (TTM),-0.0519
Revenue Per Employee (TTM),526125.0
Total Debt/Total Capital (MRQ),0.3882
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),3.83
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-08 00:00:00
researchTeam since,2022-11-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-08-06 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
