,EEFT
% Above Low,0.2698
% Held by Institutions,0.961
52-Wk Range,['71.60 - 149.92']
Annual Dividend $,
Annual Dividend %,
Ask,91.44
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,90.4
Bid Size,100.0
Closing Price,90.92
Day Change $,0.19
Day Change %,0.0021
Day High,91.75
Day Low,89.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.02
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.14
Prev Close,90.73
Short Interest,0.035
Today's Open,90.66
Volume,73083.0
Volume 10-day Avg,277662.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.6853333333333333
Growth 1yr High Est,0.6368286445012787
Growth 1yr Consensus Est,0.661080988917306
Growth 2yr Low Est,0.41624261603375523
Growth 2yr High Est,0.40435182225063937
Growth 2yr Consensus Est,0.4102972191421973
Growth 5yr Low Est,0.09262632953768107
Growth 5yr High Est,0.09201854345722241
Growth 5yr Consensus Est,0.09232243649745174
Growth 5yr Actual/Est,0.14947308507162674
Growth 3yr Historic,-0.07230172701611678
Price/Earnings (TTM),30.1363
Price/Sales (TTM),1.3645
Price/Book (MRQ),4.38718
Price/Cash Flow (TTM),15.20526
5yr Low,61.27
5yr High,171.25
5yr Avg Return,0.03555
EPS Growth 5yr,-0.1637
Revenue Growth 5yr,0.0886854
Dividend Growth 5yr,
Short Int Current Month,1583076.0
Short Int Prev Month,1407162.0
Short Int Pct of Float,0.0349932
Days to Cover,3.87651
Float,47.04078
Shares Outstanding,49.59388
Institutions Holding Shares,425.0
FCF Growth 5yr,-2.0960585567517422
"Price/Earnings (TTM, GAAP)",30.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3962
Operating Profit Margin (TTM),0.1014
Net Profit Margin (TTM),0.0483
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7408
EPS Growth (TTM),0.1152
Revenue Growth (MRQ),0.1043
Revenue Growth (TTM),0.1432
Return On Equity (TTM),0.12710000000000002
Return On Assets (TTM),0.0342
Return On Investment (TTM),0.057699999999999994
Revenue Per Employee (TTM),375519.0
Total Debt/Total Capital (MRQ),0.6281
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.26
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-04-05 00:00:00
