,EEFT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.14,53.11,Valuation,0.5675014121634344
Price/Sales (TTM),1.36,19.35,Valuation,0.0702842377260982
Price/Book (MRQ),4.39,19.03,Valuation,0.23068838675775089
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.3962,0.44520000000000004,Profitability,0.8899371069182389
Operating Profit Margin (TTM),0.1014,0.3027,Profitability,0.33498513379583744
Net Profit Margin (TTM),0.0483,0.23600000000000002,Profitability,0.20466101694915254
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.7408,-3.5569,Gowth rates,-0.2082712474345638
EPS Growth (TTM),0.1152,0.15560000000000002,Gowth rates,0.7403598971722364
Revenue Growth (MRQ),0.1043,0.16460000000000002,Gowth rates,0.6336573511543134
Revenue Growth (TTM),0.1432,0.2273,Gowth rates,0.6300043994720633
Return On Equity (TTM),0.12710000000000002,0.5459,Effectiveness,0.2328265250045796
Return On Assets (TTM),0.0342,0.1131,Effectiveness,0.30238726790450926
Return On Investment (TTM),0.057699999999999994,0.18910000000000002,Effectiveness,0.30512956107879424
Revenue Per Employee (TTM),375519.0,686074.0,Effectiveness,0.5473447470681005
Total Debt/Total Capital (MRQ),0.6281,0.5613,Financial strength,1.1190094423659362
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996,0.0048,Financial strength,0.7291666666666666
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),6.26,27.21,Financial strength,0.23006247703050348
