,EVR
% Below High,0.223
% Held by Institutions,0.8318000000000001
52-Wk Range,['78.67 - 146.16']
Annual Dividend $,2.88
Annual Dividend %,0.0254
Ask,123.3
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.5
Bid,86.06
Bid Size,500.0
Closing Price,113.56
Day Change $,0.64
Day Change %,0.005699999999999999
Day High,114.39
Day Low,111.97
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",15.11
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.392
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.51
Prev Close,112.92
Short Interest,0.0335
Today's Open,111.97
Volume,99431.0
Volume 10-day Avg,362022.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.36886395511921455
Growth 1yr High Est,0.43071161048689155
Growth 1yr Consensus Est,0.39978778280305305
Growth 2yr Low Est,0.11014919067436141
Growth 2yr High Est,0.30217953997293956
Growth 2yr Consensus Est,0.20616436532365048
Growth 5yr Low Est,0.055074595337180704
Growth 5yr High Est,0.15108976998646978
Growth 5yr Consensus Est,0.10308218266182524
Growth 5yr Actual/Est,0.16151852678323267
Growth 3yr Historic,0.2671193671193671
Price/Earnings (TTM),7.51477
Price/Sales (TTM),1.43967
Price/Book (MRQ),3.12388
Price/Cash Flow (TTM),5.82341
5yr Low,33.25
5yr High,164.63
5yr Avg Return,0.07341666666666666
EPS Growth 5yr,0.4766803
Revenue Growth 5yr,0.1781747
Dividend Growth 5yr,0.1584797
Short Int Current Month,1183935.0
Short Int Prev Month,1466297.0
Short Int Pct of Float,0.0335367
Days to Cover,2.3765
Float,35.3108
Shares Outstanding,38.83772
Institutions Holding Shares,488.0
FCF Growth 5yr,-1.2539651498194888
"Price/Earnings (TTM, GAAP)",7.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.991
Operating Profit Margin (TTM),0.3075
Net Profit Margin (TTM),0.2378
Annual Dividend Yield,0.025400000000000002
Dividend Change %,0.1277
"Dividend Growth Rate, 3 Years",0.1173
EPS Growth (MRQ),-0.12560000000000002
EPS Growth (TTM),-0.0067
Revenue Growth (MRQ),-0.0851
Revenue Growth (TTM),-0.0179
Return On Equity (TTM),0.48
Return On Assets (TTM),0.22690000000000002
Return On Investment (TTM),0.3411
Revenue Per Employee (TTM),1571021.0
Total Debt/Total Capital (MRQ),0.1887
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2020-10-09 00:00:00
researchTeam since,2022-08-20 00:00:00
cfra since,2022-04-27 00:00:00
ford since,2022-07-15 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
