,RCII,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",74.87,19.03,Valuation,3.9343142406726224
Price/Sales (TTM),0.28,1.93,Valuation,0.1450777202072539
Price/Book (MRQ),2.36,92.12,Valuation,0.025618758141554492
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.4863,0.34390000000000004,Profitability,1.4140738586798487
Operating Profit Margin (TTM),0.0323,0.11789999999999999,Profitability,0.27396098388464807
Net Profit Margin (TTM),0.0044,0.0818,Profitability,0.05378973105134475
Annual Dividend Yield,0.0609,0.016200000000000003,Dividend,3.7592592592592586
Dividend Change %,0.069,0.2582,Dividend,0.2672347017815647
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-1.3156,-0.10800000000000001,Gowth rates,12.18148148148148
EPS Growth (TTM),-0.8958,0.0262,Gowth rates,-34.19083969465649
Revenue Growth (MRQ),-0.0442,0.0478,Gowth rates,-0.9246861924686193
Revenue Growth (TTM),0.0721,0.0874,Gowth rates,0.8249427917620137
Return On Equity (TTM),0.0278,5.2054,Effectiveness,0.0053406078303300415
Return On Assets (TTM),0.0067,0.1562,Effectiveness,0.04289372599231754
Return On Investment (TTM),0.0092,0.26,Effectiveness,0.03538461538461538
Revenue Per Employee (TTM),309752.0,410011.0,Effectiveness,0.7554724141547422
Total Debt/Total Capital (MRQ),0.7141,0.8926999999999999,Financial strength,0.799932788170718
Change in Debt/Total Capital Quarter over Quarter,0.0018,0.0016,Financial strength,1.125
Quick Ratio (MRQ),,0.39,Financial strength,
Interest Coverage (MRQ),3.59,13.36,Financial strength,0.2687125748502994
