,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,14.06,20.79,29.97,44.99,32.98,,,,,
low,7.7,8.51,11.96,25.41,18.89,,,,,
change,-0.3208,0.9413,0.7112999999999999,-0.020499999999999997,-0.038700000000000005,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,36.0,30.0,26.0,36.0,Balance Sheet
Short Term Investments,,,,,,7.0,,,,Balance Sheet
Cash and Short Term Invs,,,,,,42.0,30.0,26.0,36.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,155.0,166.0,237.0,250.0,Balance Sheet
Other Receivables,,,,,,32.0,29.0,36.0,44.0,Balance Sheet
"Total Receivables, Net",,,,,,186.0,195.0,273.0,294.0,Balance Sheet
Total Inventory,,,,,,58.0,70.0,77.0,74.0,Balance Sheet
Prepaid Expenses,,,,,,12.0,18.0,13.0,13.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,2.0,0.0,0.0,Balance Sheet
Total Current Assets,,,,,,299.0,314.0,389.0,417.0,Balance Sheet
Buildings,,,,,,29.0,31.0,31.0,34.0,Balance Sheet
Land/Improvements,,,,,,57.0,62.0,59.0,59.0,Balance Sheet
Machinery/Equipment,,,,,,506.0,530.0,534.0,570.0,Balance Sheet
Construction in Progress,,,,,,7.0,14.0,24.0,24.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,104.0,105.0,108.0,113.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,704.0,742.0,757.0,800.0,Balance Sheet
Accumulated Depreciation,,,,,,-264.0,-276.0,-292.0,-305.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,440.0,466.0,465.0,495.0,Balance Sheet
"Goodwill, Net",,,,,,121.0,133.0,125.0,129.0,Balance Sheet
Intangibles - Net,,,,,,4.0,4.0,13.0,16.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
LT Investments - Other,,,,,,2.0,6.0,7.0,7.0,Balance Sheet
Long Term Investments,,,,,,2.0,6.0,7.0,7.0,Balance Sheet
Other Long Term Assets,,,,,,7.0,14.0,21.0,31.0,Balance Sheet
Total Assets,,,,,,873.0,938.0,1020.0,1096.0,Balance Sheet
Accounts Payable,,,,,,79.0,87.0,120.0,130.0,Balance Sheet
Accrued Expenses,,,,,,15.0,19.0,24.0,31.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,10.0,10.0,13.0,13.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,39.0,46.0,48.0,52.0,Balance Sheet
Total Current Liabilities,,,,,,143.0,163.0,204.0,226.0,Balance Sheet
Total Long Term Debt,,,,,,274.0,317.0,341.0,363.0,Balance Sheet
Total Debt,,,,,,284.0,327.0,354.0,376.0,Balance Sheet
Deferred Income Tax,,,,,,18.0,20.0,20.0,27.0,Balance Sheet
"Other Liabilities, Total",,,,,,21.0,23.0,24.0,24.0,Balance Sheet
Total Liabilities,,,,,,455.0,522.0,590.0,640.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,250.0,252.0,254.0,257.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,181.0,172.0,184.0,197.0,Balance Sheet
Treasury Stock - Common,,,,,,-16.0,-16.0,-16.0,-16.0,Balance Sheet
