,ROAD
% Below High,0.2341
% Held by Institutions,0.9612
52-Wk Range,['18.89 - 36.92']
Annual Dividend $,
Annual Dividend %,
Ask,28.39
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.9
Bid,28.23
Bid Size,300.0
Day Change $,-1.0
Day Change %,-0.0342
Day High,29.55
Day Low,28.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.528
Last (size),330.0
Last (time),1:02p ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",71.29
Prev Close,29.28
Price,28.28
Short Interest,0.0269
Today's Open,29.07
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.5714285714285716
Growth 1yr High Est,0.6222222222222222
Growth 1yr Consensus Est,0.5968253968253969
Growth 2yr Low Est,0.4311688311688312
Growth 2yr High Est,0.5508371385083715
Growth 2yr Consensus Est,0.49100298483860133
Growth 5yr Low Est,0.08882385220413391
Growth 5yr High Est,0.16782363254532498
Growth 5yr Consensus Est,0.12832374237472943
Growth 5yr Actual/Est,0.13743941525953718
Growth 3yr Historic,-0.11217948717948723
Price/Earnings (TTM),71.29465
Price/Sales (TTM),1.18524
Price/Book (MRQ),3.3749
Price/Cash Flow (TTM),16.86982
5yr Low,7.7
5yr High,44.99
5yr Avg Return,0.25451999999999997
EPS Growth 5yr,-0.0434382
Revenue Growth 5yr,0.1803162
Dividend Growth 5yr,
Short Int Current Month,1025242.0
Short Int Prev Month,1350458.0
Short Int Pct of Float,0.0269063
Days to Cover,6.05609
Float,38.18065
Shares Outstanding,52.69111
Institutions Holding Shares,208.0
FCF Growth 5yr,0.6067728546775016
"Price/Earnings (TTM, GAAP)",71.29
"PEG Ratio (TTM, GAAP)",1.81
Gross Profit Margin (TTM),0.107
Operating Profit Margin (TTM),0.027200000000000002
Net Profit Margin (TTM),0.016399999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0746
EPS Growth (TTM),0.08109999999999999
Revenue Growth (MRQ),0.0336
Revenue Growth (TTM),0.4293
Return On Equity (TTM),0.049400000000000006
Return On Assets (TTM),0.0225
Return On Investment (TTM),0.0282
Revenue Per Employee (TTM),1257656.0
Total Debt/Total Capital (MRQ),0.45170000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),1.52
Interest Coverage (MRQ),5.27
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-12 00:00:00
theStreet since,2022-01-20 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
