,RMD
% Above Low,0.19210000000000002
% Held by Institutions,0.6639
52-Wk Range,['189.40 - 268.77']
Annual Dividend $,1.76
Annual Dividend %,0.0077
Ask,225.93
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,225.58
Bid Size,100.0
Day Change $,-4.13
Day Change %,-0.018000000000000002
Day High,230.61
Day Low,225.59
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.35
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.32799999999999996
Last (size),33.0
Last (time),12:58p ET 11/28/22
Market Cap,33.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",43.0
Prev Close,229.92
Price,225.79
Short Interest,0.0074
Today's Open,229.03
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.12633451957295372
Growth 1yr High Est,0.14675767918088733
Growth 1yr Consensus Est,0.13654609937692053
Growth 2yr Low Est,0.10582128822249581
Growth 2yr High Est,0.1686169348285389
Growth 2yr Consensus Est,0.13721911152551736
Growth 5yr Low Est,0.09609030964513769
Growth 5yr High Est,0.14418699082027206
Growth 5yr Consensus Est,0.12013865023270487
Growth 5yr Actual/Est,0.11370974984682547
Growth 3yr Historic,0.051512959780535106
Price/Earnings (TTM),42.99989
Price/Sales (TTM),9.29243
Price/Book (MRQ),9.8092
Price/Cash Flow (TTM),35.71219
5yr Low,82.81
5yr High,301.34
5yr Avg Return,0.1971166666666667
EPS Growth 5yr,0.171451
Revenue Growth 5yr,0.1160255
Dividend Growth 5yr,0.0494145
Short Int Current Month,1074496.0
Short Int Prev Month,1305459.0
Short Int Pct of Float,0.0074387
Days to Cover,1.95959
Float,144.5759
Shares Outstanding,146.4836
Institutions Holding Shares,993.0
FCF Growth 5yr,0.05578892145157203
"Price/Earnings (TTM, GAAP)",43.0
"PEG Ratio (TTM, GAAP)",1.79
Gross Profit Margin (TTM),0.568
Operating Profit Margin (TTM),0.2798
Net Profit Margin (TTM),0.2169
Annual Dividend Yield,0.0077
Dividend Change %,0.07690000000000001
"Dividend Growth Rate, 3 Years",0.0432
EPS Growth (MRQ),0.0786
EPS Growth (TTM),0.5709000000000001
Revenue Growth (MRQ),0.038900000000000004
Revenue Growth (TTM),0.08230000000000001
Return On Equity (TTM),0.24350000000000002
Return On Assets (TTM),0.1587
Return On Investment (TTM),0.18309999999999998
Revenue Per Employee (TTM),444167.0
Total Debt/Total Capital (MRQ),0.1881
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.69
Interest Coverage (MRQ),22.22
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-08-07 00:00:00
theStreet since,2011-05-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-08-07 00:00:00
ford since,2022-08-12 00:00:00
marketEdge opinion since,
