,OIS
% Below High,0.2738
% Held by Institutions,0.8929
52-Wk Range,['3.51 - 9.02']
Annual Dividend $,
Annual Dividend %,
Ask,6.57
Ask Size,800.0
B/A Ratio,0.875
B/A Size,700x800
Beta,3.1
Bid,6.0
Bid Size,700.0
Change Since Close,-0.55| |(-8.40%)
Closing Price,6.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.721
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,6.0
Market Cap,419.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.55
Short Interest,0.0347
Today's Open,
Volume,813.0
Volume 10-day Avg,562303.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.75
Growth 1yr High Est,-0.8194444444444444
Growth 1yr Consensus Est,-0.7847222222222222
Growth 2yr Low Est,-1.5
Growth 2yr High Est,-2.294337606837607
Growth 2yr Consensus Est,-1.8971688034188035
Growth 5yr Low Est,-0.6825396825396824
Growth 5yr High Est,-1.0569210881710882
Growth 5yr Consensus Est,-0.8697303853553853
Growth 5yr Actual/Est,-0.7890836241589636
Growth 3yr Historic,0.11140979689366792
Price/Earnings (TTM),
Price/Sales (TTM),0.60087
Price/Book (MRQ),0.62088
Price/Cash Flow (TTM),11.03853
5yr Low,1.52
5yr High,38.95
5yr Avg Return,-0.08593333333333332
EPS Growth 5yr,
Revenue Growth 5yr,-0.0376615
Dividend Growth 5yr,
Short Int Current Month,2153552.0
Short Int Prev Month,2407541.0
Short Int Pct of Float,0.0347052
Days to Cover,2.70131
Float,62.05591
Shares Outstanding,63.90214
Institutions Holding Shares,214.0
FCF Growth 5yr,-0.27259327469183076
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2057
Operating Profit Margin (TTM),-0.0167
Net Profit Margin (TTM),-0.0464
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4035
EPS Growth (TTM),0.4878
Revenue Growth (MRQ),0.041600000000000005
Revenue Growth (TTM),0.2683
Return On Equity (TTM),-0.046900000000000004
Return On Assets (TTM),-0.0302
Return On Investment (TTM),-0.0364
Revenue Per Employee (TTM),293549.0
Total Debt/Total Capital (MRQ),0.1869
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.34
Interest Coverage (MRQ),1.92
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2018-10-12 00:00:00
theStreet since,2018-11-06 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
