,OIS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),0.6,2.16,Valuation,0.27777777777777773
Price/Book (MRQ),0.62,3.21,Valuation,0.19314641744548286
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.2057,0.1895,Profitability,1.0854881266490766
Operating Profit Margin (TTM),-0.0167,0.0622,Profitability,-0.2684887459807074
Net Profit Margin (TTM),-0.0464,0.011899999999999999,Profitability,-3.899159663865546
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),1.4035,0.659,Gowth rates,2.129742033383915
EPS Growth (TTM),0.4878,-0.1462,Gowth rates,-3.3365253077975376
Revenue Growth (MRQ),0.041600000000000005,0.3728,Gowth rates,0.11158798283261803
Revenue Growth (TTM),0.2683,0.2954,Gowth rates,0.9082599864590385
Return On Equity (TTM),-0.046900000000000004,0.0775,Effectiveness,-0.6051612903225807
Return On Assets (TTM),-0.0302,0.0348,Effectiveness,-0.8678160919540231
Return On Investment (TTM),-0.0364,0.1063,Effectiveness,-0.34242709313264347
Revenue Per Employee (TTM),293549.0,673709.0,Effectiveness,0.4357207637125228
Total Debt/Total Capital (MRQ),0.1869,0.3983,Financial strength,0.4692442882249561
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0006,Financial strength,-1.6666666666666667
Quick Ratio (MRQ),1.34,1.2,Financial strength,1.1166666666666667
Interest Coverage (MRQ),1.92,15.83,Financial strength,0.12128869235628553
