,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,90.29,147.42,150.17,166.87,263.92,279.02,,,,,
low,77.76,84.92,110.31,58.38,156.43,164.47,,,,,
change,0.1257,0.4142,0.20260000000000003,0.11,0.5726,-0.0674,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,1451.0,2371.0,858.0,999.0,Balance Sheet
"Total Receivables, Net",,,,,,,8095.0,8520.0,8628.0,8552.0,Balance Sheet
Total Inventory,,,,,,,1986.0,2003.0,2043.0,2009.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,2010.0,2112.0,2408.0,1921.0,Balance Sheet
Total Current Assets,,,,,,,13542.0,15006.0,13937.0,13481.0,Balance Sheet
Buildings,,,,,,,19211.0,,,,Balance Sheet
Land/Improvements,,,,,,,2496.0,,,,Balance Sheet
Machinery/Equipment,,,,,,,28256.0,,,,Balance Sheet
Construction in Progress,,,,,,,1387.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,2113.0,52042.0,52816.0,53730.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,53463.0,52042.0,52816.0,53730.0,Balance Sheet
Accumulated Depreciation,,,,,,,-27287.0,-27814.0,-28229.0,-28752.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,26176.0,26366.0,26726.0,27075.0,Balance Sheet
"Goodwill, Net",,,,,,,9540.0,9525.0,9593.0,9651.0,Balance Sheet
Long Term Investments,,,,,,,886.0,849.0,814.0,816.0,Balance Sheet
Other Long Term Assets,,,,,,,598.0,462.0,514.0,461.0,Balance Sheet
Total Assets,,,,,,,50742.0,52208.0,51584.0,51484.0,Balance Sheet
Accounts Payable,,,,,,,4111.0,4010.0,3742.0,4161.0,Balance Sheet
Accrued Expenses,,,,,,,5234.0,5022.0,5011.0,5405.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,237.0,1486.0,246.0,218.0,Balance Sheet
Total Current Liabilities,,,,,,,9582.0,10518.0,8999.0,9784.0,Balance Sheet
Long Term Debt,,,,,,,33765.0,36210.0,38657.0,37492.0,Balance Sheet
Capital Lease Obligations,,,,,,,577.0,,,,Balance Sheet
Total Long Term Debt,,,,,,,34342.0,36210.0,38657.0,37492.0,Balance Sheet
Total Debt,,,,,,,34579.0,37696.0,38903.0,37710.0,Balance Sheet
Minority Interest,,,,,,,2422.0,2447.0,2538.0,2592.0,Balance Sheet
"Other Liabilities, Total",,,,,,,5329.0,5066.0,5070.0,4986.0,Balance Sheet
Total Liabilities,,,,,,,51675.0,54241.0,55264.0,54854.0,Balance Sheet
Common Stock,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,,,0.0,,,,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-532.0,-1589.0,-3168.0,-2781.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,12.0,-8.0,-20.0,-32.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-278.0,-308.0,-368.0,-435.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-132.0,-130.0,-128.0,-127.0,Balance Sheet
Other Comprehensive Income,,,,,,,-6.0,-1.0,1.0,2.0,Balance Sheet
"Other Equity, Total",,,,,,,-416.0,-439.0,-495.0,-560.0,Balance Sheet
Total Equity,,,,,,,-933.0,-2033.0,-3680.0,-3370.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,50742.0,52208.0,51584.0,51484.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,305.0,299.0,287.0,284.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,15064.0,14945.0,14820.0,14971.0,Income Statement
"Cost of Revenue, Total",,,,,,,2414.0,2321.0,2301.0,2320.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,2537.0,2752.0,2693.0,,Income Statement
Labor & Related Expense,,,,,,,6999.0,6939.0,6792.0,6899.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,9536.0,9691.0,9485.0,6899.0,Income Statement
Depreciation/Amortization,,,,,,,728.0,732.0,738.0,749.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,,78.0,0.0,Income Statement
"Other Operat Expse, Total",,,,,,,,,,2860.0,Income Statement
Total Operating Expense,,,,,,,12678.0,12744.0,12602.0,12828.0,Income Statement
Total Operating Income,,,,,,,2386.0,2201.0,2218.0,2143.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-398.0,-408.0,-434.0,-446.0,Income Statement
