,HCA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.52,29.13,Valuation,0.464126330243735
Price/Sales (TTM),1.13,1.32,Valuation,0.856060606060606
Price/Book (MRQ),,4.31,Valuation,
"PEG Ratio (TTM, GAAP)",2.63,0.26,Valuation,10.115384615384615
Gross Profit Margin (TTM),0.8434999999999999,0.1318,Profitability,6.399848254931714
Operating Profit Margin (TTM),0.1496,0.0458,Profitability,3.2663755458515285
Net Profit Margin (TTM),0.1036,0.0242,Profitability,4.2809917355371905
Annual Dividend Yield,0.0094,0.0108,Dividend,0.8703703703703703
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",0.0094,0.3483,Dividend,0.026988228538616137
EPS Growth (MRQ),0.0029,-0.1478,Gowth rates,-0.01962110960757781
EPS Growth (TTM),-0.0981,-1.101,Gowth rates,0.08910081743869211
Revenue Growth (MRQ),0.0102,0.0931,Gowth rates,0.10955961331901182
Revenue Growth (TTM),0.031400000000000004,0.1191,Gowth rates,0.2636439966414778
Return On Equity (TTM),,7.2022,Effectiveness,
Return On Assets (TTM),0.1226,0.0403,Effectiveness,3.0421836228287837
Return On Investment (TTM),0.16190000000000002,0.016,Effectiveness,10.11875
Revenue Per Employee (TTM),293137.0,1375304.0,Effectiveness,0.2131434213817454
Total Debt/Total Capital (MRQ),1.0211000000000001,0.4855,Financial strength,2.103192584963955
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0015,Financial strength,0.7999999999999999
Quick Ratio (MRQ),1.17,0.31,Financial strength,3.7741935483870965
Interest Coverage (MRQ),4.92,9.55,Financial strength,0.5151832460732984
