,HCA
% Below High,0.1421
% Held by Institutions,0.6586
52-Wk Range,['164.47 - 279.02']
Annual Dividend $,2.24
Annual Dividend %,0.009399999999999999
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,238.42
Bid Size,
Closing Price,239.37
Day Change $,2.09
Day Change %,0.0088
Day High,241.23
Day Low,237.41
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",17.71
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.435
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,67.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.52
Prev Close,237.28
Short Interest,0.0152
Today's Open,238.97
Volume,385133.0
Volume 10-day Avg,1288827.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.011904761904761862
Growth 1yr High Est,-0.12805181863477832
Growth 1yr Consensus Est,-0.0699782902697701
Growth 2yr Low Est,0.022059667240390102
Growth 2yr High Est,-0.020883052174532013
Growth 2yr Consensus Est,0.0005883075329290444
Growth 5yr Low Est,0.16879682391145717
Growth 5yr High Est,0.21068523447611426
Growth 5yr Consensus Est,0.18974102919378572
Growth 5yr Actual/Est,0.16388118321990922
Growth 3yr Historic,0.15325889011935523
Price/Earnings (TTM),13.51686
Price/Sales (TTM),1.13167
Price/Book (MRQ),
Price/Cash Flow (TTM),7.40415
5yr Low,58.38
5yr High,279.02
5yr Avg Return,0.2262833333333333
EPS Growth 5yr,0.2371575
Revenue Growth 5yr,0.07205199999999999
Dividend Growth 5yr,
Short Int Current Month,3199447.0
Short Int Prev Month,3396178.0
Short Int Pct of Float,0.015217099999999999
Days to Cover,2.39451
Float,210.7729
Shares Outstanding,282.7167
Institutions Holding Shares,1201.0
FCF Growth 5yr,0.6843929702394087
"Price/Earnings (TTM, GAAP)",13.52
"PEG Ratio (TTM, GAAP)",2.63
Gross Profit Margin (TTM),0.8434999999999999
Operating Profit Margin (TTM),0.1496
Net Profit Margin (TTM),0.1036
Annual Dividend Yield,0.0094
Dividend Change %,
"Dividend Growth Rate, 3 Years",0.0094
EPS Growth (MRQ),0.0029
EPS Growth (TTM),-0.0981
Revenue Growth (MRQ),0.0102
Revenue Growth (TTM),0.031400000000000004
Return On Equity (TTM),
Return On Assets (TTM),0.1226
Return On Investment (TTM),0.16190000000000002
Revenue Per Employee (TTM),293137.0
Total Debt/Total Capital (MRQ),1.0211000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),1.17
Interest Coverage (MRQ),4.92
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-03-22 00:00:00
researchTeam since,2020-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-03-18 00:00:00
ford since,2022-02-18 00:00:00
marketEdge opinion since,
