,ATUS
% Above Low,0.1802
% Held by Institutions,0.5590999999999999
52-Wk Range,['3.94 - 17.30']
Annual Dividend $,
Annual Dividend %,
Ask,4.75
Ask Size,5000.0
B/A Ratio,0.02
B/A Size,100x5000
Beta,1.4
Bid,4.7
Bid Size,100.0
Closing Price,4.65
Day Change $,-0.05
Day Change %,-0.0106
Day High,4.72
Day Low,4.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.39
Ex-dividend Date,No dividend
Historical Volatility,0.799
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",3.34
Prev Close,4.7
Short Interest,0.09449999999999999
Today's Open,4.68
Volume,2464128.0
Volume 10-day Avg,7937845.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.5480225988700564
Growth 1yr High Est,-0.39449541284403666
Growth 1yr Consensus Est,-0.47125900585704655
Growth 2yr Low Est,-0.6052612994350282
Growth 2yr High Est,-0.12149013066444264
Growth 2yr Consensus Est,-0.3633757150497354
Growth 5yr Low Est,-0.6052612994350282
Growth 5yr High Est,-0.12149013066444264
Growth 5yr Consensus Est,-0.3633757150497354
Growth 5yr Actual/Est,0.9244883301191711
Growth 3yr Historic,1.1061904761904762
Price/Earnings (TTM),3.34107
Price/Sales (TTM),0.21574
Price/Book (MRQ),
Price/Cash Flow (TTM),0.85899
5yr Low,3.94
5yr High,38.3
5yr Avg Return,-0.05215000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.10893599999999999
Dividend Growth 5yr,
Short Int Current Month,36689080.0
Short Int Prev Month,47624870.0
Short Int Pct of Float,0.09449339999999999
Days to Cover,4.54951
Float,212.4236
Shares Outstanding,454.6684
Institutions Holding Shares,386.0
FCF Growth 5yr,0.12960455594549303
"Price/Earnings (TTM, GAAP)",3.34
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6667000000000001
Operating Profit Margin (TTM),0.2143
Net Profit Margin (TTM),0.0688
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2002
EPS Growth (TTM),-0.3643
Revenue Growth (MRQ),-0.0282
Revenue Growth (TTM),-0.0302
Return On Equity (TTM),
Return On Assets (TTM),0.0202
Return On Investment (TTM),0.022799999999999997
Revenue Per Employee (TTM),1088845.0
Total Debt/Total Capital (MRQ),1.013
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.4
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-02-17 00:00:00
ford since,2022-06-17 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-23 00:00:00
