,ATUS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.34,15.8,Valuation,0.21139240506329113
Price/Sales (TTM),0.22,2.92,Valuation,0.07534246575342465
Price/Book (MRQ),,3.23,Valuation,
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.6667000000000001,0.5389,Profitability,1.2371497494897012
Operating Profit Margin (TTM),0.2143,0.14,Profitability,1.5307142857142855
Net Profit Margin (TTM),0.0688,0.1103,Profitability,0.6237533998186764
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),-0.2002,0.7041,Gowth rates,-0.2843346115608578
EPS Growth (TTM),-0.3643,0.0154,Gowth rates,-23.655844155844157
Revenue Growth (MRQ),-0.0282,0.1423,Gowth rates,-0.1981728742094167
Revenue Growth (TTM),-0.0302,0.1115,Gowth rates,-0.27085201793721975
Return On Equity (TTM),,0.1409,Effectiveness,
Return On Assets (TTM),0.0202,0.0388,Effectiveness,0.5206185567010309
Return On Investment (TTM),0.022799999999999997,0.049800000000000004,Effectiveness,0.45783132530120474
Revenue Per Employee (TTM),1088845.0,648551.0,Effectiveness,1.6788887843824156
Total Debt/Total Capital (MRQ),1.013,0.5946,Financial strength,1.703666330306088
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0004,Financial strength,-0.25
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),1.4,5.53,Financial strength,0.2531645569620253
