,BLK
% Below High,0.2107
% Held by Institutions,0.7598
52-Wk Range,['503.12 - 934.76']
Annual Dividend $,19.52
Annual Dividend %,0.0265
Ask,746.7
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.3
Bid,737.78
Bid Size,500.0
Closing Price,737.78
Day Change $,1.46
Day Change %,0.002
Day High,739.85
Day Low,727.65
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",36.3
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.36700000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,110.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.33
Prev Close,736.32
Short Interest,0.0216
Today's Open,734.46
Volume,301551.0
Volume 10-day Avg,852441.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-12 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.1076882569773564
Growth 1yr High Est,-0.12623574144486704
Growth 1yr Consensus Est,-0.11696199921111172
Growth 2yr Low Est,-0.08394150234527303
Growth 2yr High Est,-0.03903896152603076
Growth 2yr Consensus Est,-0.061490231935651896
Growth 5yr Low Est,0.04644843450211836
Growth 5yr High Est,0.07196860049953754
Growth 5yr Consensus Est,0.05920851750082795
Growth 5yr Actual/Est,0.050521127423829304
Growth 3yr Historic,0.0864965257244234
Price/Earnings (TTM),20.32569
Price/Sales (TTM),5.94417
Price/Book (MRQ),2.98713
Price/Cash Flow (TTM),19.3152
5yr Low,323.98
5yr High,973.16
5yr Avg Return,0.09898333333333334
EPS Growth 5yr,0.1497955
Revenue Growth 5yr,0.0958186
Dividend Growth 5yr,0.1251824
Short Int Current Month,3215519.0
Short Int Prev Month,3564903.0
Short Int Pct of Float,0.021632799999999997
Days to Cover,3.27864
Float,148.6353
Shares Outstanding,150.1956
Institutions Holding Shares,2237.0
FCF Growth 5yr,-0.7063729471745734
"Price/Earnings (TTM, GAAP)",20.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8102
Operating Profit Margin (TTM),0.3753
Net Profit Margin (TTM),0.2853
Annual Dividend Yield,0.0265
Dividend Change %,0.1377
"Dividend Growth Rate, 3 Years",0.1118
EPS Growth (MRQ),0.3094
EPS Growth (TTM),-0.0348
Revenue Growth (MRQ),-0.0475
Revenue Growth (TTM),-0.0055000000000000005
Return On Equity (TTM),0.1504
Return On Assets (TTM),0.0373
Return On Investment (TTM),0.0393
Revenue Per Employee (TTM),1013152.0
Total Debt/Total Capital (MRQ),0.1474
Change in Debt/Total Capital Quarter over Quarter,0.005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-04-09 00:00:00
cfra since,2020-05-13 00:00:00
ford since,2022-02-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2011-12-06 00:00:00
