,AAL
% Above Low,0.2445
% Held by Institutions,0.5195000000000001
52-Wk Range,['11.65 - 21.42']
Annual Dividend $,
Annual Dividend %,
Ask,14.52
Ask Size,200.0
B/A Ratio,14.5
B/A Size,2900x200
Beta,1.5
Bid,14.49
Bid Size,2900.0
Closing Price,14.5
Day Change $,0.08
Day Change %,0.0055000000000000005
Day High,14.7
Day Low,14.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.52
Ex-dividend Date,No dividend
Historical Volatility,0.578
Last (size),298.0
Last (time),12:59p ET 11/25/22
Market Cap,9.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,14.42
Short Interest,0.1424
Today's Open,14.4
Volume,9903925.0
Volume 10-day Avg,25450420.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.8464912280701754
Growth 1yr High Est,-0.9957142857142857
Growth 1yr Consensus Est,-0.9211027568922305
Growth 2yr Low Est,-0.9946741854636592
Growth 2yr High Est,-52.83119047619048
Growth 2yr Consensus Est,-26.91293233082707
Growth 5yr Low Est,-1.983139597871887
Growth 5yr High Est,-27.765625875350143
Growth 5yr Consensus Est,-14.874382736611015
Growth 5yr Actual/Est,-3.4518397736683126
Growth 3yr Historic,-1.3964996782029189
Price/Earnings (TTM),
Price/Sales (TTM),0.20844
Price/Book (MRQ),
Price/Cash Flow (TTM),10.57639
5yr Low,8.25
5yr High,59.08
5yr Avg Return,-0.1552833333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0573247
Dividend Growth 5yr,
Short Int Current Month,91398791.0
Short Int Prev Month,86494438.0
Short Int Pct of Float,0.14236700000000002
Days to Cover,3.36805
Float,642.2258
Shares Outstanding,649.9009
Institutions Holding Shares,712.0
FCF Growth 5yr,0.6968959029250886
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5737
Operating Profit Margin (TTM),-0.0123
Net Profit Margin (TTM),-0.0356
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0559
EPS Growth (TTM),0.5406000000000001
Revenue Growth (MRQ),0.003
Revenue Growth (TTM),0.8466
Return On Equity (TTM),
Return On Assets (TTM),-0.023799999999999998
Return On Investment (TTM),-0.034100000000000005
Revenue Per Employee (TTM),366370.0
Total Debt/Total Capital (MRQ),1.2718
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),2.26
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2021-01-27 00:00:00
ford since,2022-06-17 00:00:00
marketEdge opinion since,
marketEdge since,2020-05-01 00:00:00
