,SLB
% Below High,0.1042
% Held by Institutions,0.8371999999999999
52-Wk Range,['27.65 - 56.04']
Annual Dividend $,0.7
Annual Dividend %,0.0138
Ask,50.21
Ask Size,400.0
B/A Ratio,3.0
B/A Size,1200x400
Beta,1.9
Bid,50.2
Bid Size,1200.0
Day Change $,-0.63
Day Change %,-0.0124
Day High,50.83
Day Low,49.09
Dividend Pay Date,2023-01-12 00:00:00
"EPS (TTM, GAAP)",2.07
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.494
Last (size),100.0
Last (time),2:31p ET 11/28/22
Market Cap,71.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.55
Prev Close,50.83
Price,50.2
Short Interest,0.0195
Today's Open,49.51
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-01-20 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.7154471544715446
Growth 1yr High Est,0.6417910447761195
Growth 1yr Consensus Est,0.678619099623832
Growth 2yr Low Est,0.5046430085153932
Growth 2yr High Est,0.5458955223880597
Growth 2yr Consensus Est,0.5252692654517265
Growth 5yr Low Est,0.22354452584043044
Growth 5yr High Est,0.24777997595913054
Growth 5yr Consensus Est,0.2356622508997805
Growth 5yr Actual/Est,0.3526679967044958
Growth 3yr Historic,0.08623449379751902
Price/Earnings (TTM),24.54891
Price/Sales (TTM),2.72637
Price/Book (MRQ),4.19076
Price/Cash Flow (TTM),13.99552
5yr Low,11.87
5yr High,80.35
5yr Avg Return,0.05168333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0378632
Dividend Growth 5yr,-0.2421417
Short Int Current Month,27635722.0
Short Int Prev Month,31354332.0
Short Int Pct of Float,0.019525999999999998
Days to Cover,1.90365
Float,1415.814
Shares Outstanding,1418.0
Institutions Holding Shares,1677.0
FCF Growth 5yr,-3.602248132228864
"Price/Earnings (TTM, GAAP)",24.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.17690000000000003
Operating Profit Margin (TTM),0.1499
Net Profit Margin (TTM),0.1142
Annual Dividend Yield,0.0138
Dividend Change %,-0.4286
"Dividend Growth Rate, 3 Years",-0.4152
EPS Growth (MRQ),-0.0562
EPS Growth (TTM),0.7716
Revenue Growth (MRQ),0.1039
Revenue Growth (TTM),0.1889
Return On Equity (TTM),0.1948
Return On Assets (TTM),0.0709
Return On Investment (TTM),0.0949
Revenue Per Employee (TTM),287359.0
Total Debt/Total Capital (MRQ),0.4326
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),25.13
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2022-10-12 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-22 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
