,SLB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.55,669.05,Valuation,0.036693819594948066
Price/Sales (TTM),2.73,2.16,Valuation,1.2638888888888888
Price/Book (MRQ),4.19,3.21,Valuation,1.3052959501557633
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.17690000000000003,0.1895,Profitability,0.9335092348284962
Operating Profit Margin (TTM),0.1499,0.0622,Profitability,2.409967845659164
Net Profit Margin (TTM),0.1142,0.011899999999999999,Profitability,9.596638655462185
Annual Dividend Yield,0.0138,0.0131,Dividend,1.0534351145038168
Dividend Change %,-0.4286,-0.2443,Dividend,1.75440032746623
"Dividend Growth Rate, 3 Years",-0.4152,-0.21420000000000003,Dividend,1.9383753501400558
EPS Growth (MRQ),-0.0562,0.659,Gowth rates,-0.08528072837632776
EPS Growth (TTM),0.7716,-0.1462,Gowth rates,-5.277701778385773
Revenue Growth (MRQ),0.1039,0.3728,Gowth rates,0.27870171673819744
Revenue Growth (TTM),0.1889,0.2954,Gowth rates,0.6394719025050779
Return On Equity (TTM),0.1948,0.0775,Effectiveness,2.5135483870967743
Return On Assets (TTM),0.0709,0.0348,Effectiveness,2.0373563218390807
Return On Investment (TTM),0.0949,0.1063,Effectiveness,0.8927563499529633
Revenue Per Employee (TTM),287359.0,673709.0,Effectiveness,0.4265328205501188
Total Debt/Total Capital (MRQ),0.4326,0.3983,Financial strength,1.086115992970123
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0006,Financial strength,-3.166666666666667
Quick Ratio (MRQ),1.03,1.2,Financial strength,0.8583333333333334
Interest Coverage (MRQ),25.13,15.83,Financial strength,1.5874921036007579
