,CAG
% Below High,0.0012
% Held by Institutions,0.8169
52-Wk Range,['30.06 - 37.17']
Annual Dividend $,1.32
Annual Dividend %,0.0356
Ask,40.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,36.7
Bid Size,100.0
Closing Price,37.12
Day Change $,0.25
Day Change %,0.0068000000000000005
Day High,37.17
Day Low,36.98
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.19
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.255
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,17.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.12
Prev Close,36.87
Short Interest,0.0189
Today's Open,37.0
Volume,1093461.0
Volume 10-day Avg,3584967.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.04329004329004338
Growth 1yr High Est,0.05932203389830515
Growth 1yr Consensus Est,0.051306038594174264
Growth 2yr Low Est,0.040317220815146104
Growth 2yr High Est,0.11966101694915265
Growth 2yr Consensus Est,0.07998911888214938
Growth 5yr Low Est,0.0488777686078633
Growth 5yr High Est,0.07789297766142722
Growth 5yr Consensus Est,0.06338537313464526
Growth 5yr Actual/Est,0.03881896161270443
Growth 3yr Historic,0.01295853269537478
Price/Earnings (TTM),31.11771
Price/Sales (TTM),1.5093
Price/Book (MRQ),2.09188
Price/Cash Flow (TTM),23.00821
5yr Low,20.22
5yr High,39.43
5yr Avg Return,0.05318333333333333
EPS Growth 5yr,0.08402720000000001
Revenue Growth 5yr,0.0806681
Dividend Growth 5yr,0.050005600000000004
Short Int Current Month,9021403.0
Short Int Prev Month,7540822.0
Short Int Pct of Float,0.0189165
Days to Cover,2.38892
Float,477.0416
Shares Outstanding,479.255
Institutions Holding Shares,1069.0
FCF Growth 5yr,32.09261859865324
"Price/Earnings (TTM, GAAP)",31.12
"PEG Ratio (TTM, GAAP)",5.02
Gross Profit Margin (TTM),0.2461
Operating Profit Margin (TTM),0.0867
Net Profit Margin (TTM),0.034
Annual Dividend Yield,0.0356
Dividend Change %,0.2436
"Dividend Growth Rate, 3 Years",0.1257
EPS Growth (MRQ),-1.4894
EPS Growth (TTM),-0.5184000000000001
Revenue Growth (MRQ),-0.002
Revenue Growth (TTM),0.0563
Return On Equity (TTM),0.0674
Return On Assets (TTM),0.0179
Return On Investment (TTM),0.0215
Revenue Per Employee (TTM),654828.0
Total Debt/Total Capital (MRQ),0.5132
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.24
Interest Coverage (MRQ),4.17
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-31 00:00:00
cfra since,2021-04-08 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-31 00:00:00
