,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,32.51,32.54,,,,,
low,21.45,19.85,,,,,
change,0.3982,-0.3073,,,,,
Date,,,2021-10-31 00:00:00,2022-01-30 00:00:00,2022-05-01 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,5.0,1.0,1.0,0.0,Balance Sheet
"Trade Accts Recvble, Gross",,,952.0,889.0,1120.0,1272.0,Balance Sheet
Prov. for Doubtful Accts,,,-5.0,-5.0,-7.0,-8.0,Balance Sheet
"Total Receivables, Net",,,946.0,884.0,1113.0,1264.0,Balance Sheet
Total Inventory,,,721.0,856.0,1063.0,1166.0,Balance Sheet
Prepaid Expenses,,,25.0,26.0,25.0,31.0,Balance Sheet
Total Current Assets,,,1697.0,1767.0,2202.0,2461.0,Balance Sheet
Land/Improvements,,,61.0,62.0,,,Balance Sheet
Machinery/Equipment,,,43.0,47.0,,,Balance Sheet
Construction in Progress,,,6.0,6.0,,,Balance Sheet
Other Prop./Plant/Equip.,,,226.0,223.0,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,336.0,338.0,,,Balance Sheet
Accumulated Depreciation,,,-87.0,-92.0,,,Balance Sheet
Prop./Plant/Equip. - Net,,,249.0,246.0,252.0,267.0,Balance Sheet
"Goodwill, Net",,,1515.0,1515.0,1517.0,1527.0,Balance Sheet
Intangibles - Gross,,,1348.0,1351.0,1354.0,1363.0,Balance Sheet
Accum. Intangible Amort.,,,-449.0,-480.0,-510.0,-539.0,Balance Sheet
Intangibles - Net,,,899.0,871.0,844.0,824.0,Balance Sheet
Other Long Term Assets,,,20.0,35.0,79.0,69.0,Balance Sheet
Total Assets,,,4381.0,4434.0,4894.0,5148.0,Balance Sheet
Accounts Payable,,,613.0,608.0,859.0,826.0,Balance Sheet
Accrued Expenses,,,147.0,159.0,115.0,142.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,15.0,15.0,15.0,15.0,Balance Sheet
Income Taxes Payable,,,25.0,19.0,30.0,26.0,Balance Sheet
Other Current Liabilities,,,43.0,38.0,47.0,70.0,Balance Sheet
"Other Curr. Lblts, Total",,,67.0,57.0,77.0,96.0,Balance Sheet
Total Current Liabilities,,,843.0,839.0,1066.0,1079.0,Balance Sheet
Total Long Term Debt,,,1459.0,1456.0,1510.0,1592.0,Balance Sheet
Total Debt,,,1474.0,1471.0,1525.0,1607.0,Balance Sheet
Deferred Income Tax,,,98.0,35.0,41.0,31.0,Balance Sheet
Minority Interest,,,535.0,506.0,570.0,615.0,Balance Sheet
Reserves,,,16.0,17.0,,,Balance Sheet
Other LT Liabilities,,,207.0,256.0,271.0,281.0,Balance Sheet
"Other Liabilities, Total",,,223.0,273.0,271.0,281.0,Balance Sheet
Total Liabilities,,,3158.0,3109.0,3458.0,3598.0,Balance Sheet
Common Stock,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,1169.0,1214.0,1214.0,1216.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,44.0,92.0,180.0,298.0,Balance Sheet
"Other Equity, Total",,,8.0,16.0,39.0,33.0,Balance Sheet
Total Equity,,,1223.0,1325.0,1436.0,1550.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,4381.0,4434.0,4894.0,5148.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,160.0,168.0,168.0,168.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,86.0,78.0,78.0,78.0,Balance Sheet
Ttl Comm. Shares Outs.,,,246.0,246.0,246.0,246.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-10-31 00:00:00,2022-01-30 00:00:00,2022-05-01 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,1405.0,1247.0,1598.0,1861.0,Income Statement
"Cost of Revenue, Total",,,1034.0,919.0,1177.0,1360.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,188.0,183.0,206.0,230.0,Income Statement
Depreciation/Amortization,,,35.0,35.0,35.0,34.0,Income Statement
Unusual Expense (Income),,,0.0,0.0,,0.0,Income Statement
Total Operating Expense,,,1258.0,1138.0,1418.0,1624.0,Income Statement
Total Operating Income,,,147.0,108.0,180.0,237.0,Income Statement
"Inter Expse,Net Non-Operat",,,-13.0,-13.0,-13.0,-17.0,Income Statement
Income Before Tax,,,134.0,96.0,167.0,220.0,Income Statement
Income Tax - Total,,,25.0,17.0,30.0,38.0,Income Statement
Income After Tax,,,109.0,79.0,137.0,182.0,Income Statement
Minority Interest,,,-45.0,-31.0,-51.0,-67.0,Income Statement
Net Inc Before Extra Items,,,64.0,48.0,86.0,115.0,Income Statement
Total Net Income,,,64.0,48.0,86.0,115.0,Income Statement
Income Available to Common Excl. Extra. Items,,,64.0,48.0,86.0,115.0,Income Statement
Income Available to Common Incl. Extra. Items,,,64.0,48.0,86.0,115.0,Income Statement
Basic/Primary Weighted Average Shares,,,159.0,166.0,168.0,168.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.41,0.29,0.51,0.69,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.41,0.29,0.51,0.69,Income Statement
Dilution Adjustment,,,32.0,23.0,38.0,50.0,Income Statement
Diluted Weighted Average Shares,,,245.0,249.0,246.0,246.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.39,0.28,0.5,0.67,Income Statement
Diluted EPS Incl. Extra. Items,,,0.39,0.28,0.5,0.67,Income Statement
Div/Share-ComStockPrimIssue,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,13.0,13.0,13.0,17.0,Income Statement
"Depreciat/Amort, Suppl",,,7.0,6.0,6.0,8.0,Income Statement
Total Special Items,,,3.0,3.0,0.0,2.0,Income Statement
Normalzd Income Before Tax,,,137.0,98.0,167.0,222.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,1.0,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,25.0,17.0,30.0,38.0,Income Statement
Normalized Income After Tax,,,112.0,81.0,137.0,184.0,Income Statement
Normalzd Inc Avail to Common,,,67.0,50.0,86.0,117.0,Income Statement
Basic Normalized EPS,,,0.42,0.3,0.51,0.69,Income Statement
Diluted Normalized EPS,,,0.4,0.29,0.5,0.68,Income Statement
Date,,,2021-10-31 00:00:00,2022-01-30 00:00:00,2022-05-01 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,146200.0,225000.0,137000.0,319000.0,Cash Flow
Depreciation/Depletion,,,112300.0,150000.0,36000.0,73000.0,Cash Flow
Unusual Items,,,48700.0,49000.0,,0.0,Cash Flow
Other Non-Cash Items,,,16200.0,11000.0,1000.0,2000.0,Cash Flow
Non-Cash Items,,,64900.0,60000.0,1000.0,2000.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,28000.0,62000.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,12000.0,27000.0,Cash Flow
Accounts Receivable,,,-373800.0,-312000.0,-227000.0,-376000.0,Cash Flow
Inventories,,,-304700.0,-440000.0,-207000.0,-298000.0,Cash Flow
Other Assets,,,-8200.0,-7000.0,-1000.0,-7000.0,Cash Flow
Accounts Payable,,,278900.0,274000.0,251000.0,217000.0,Cash Flow
Accrued Expenses,,,18900.0,24000.0,-28000.0,9000.0,Cash Flow
Changes in Working Capital,,,-389600.0,-466000.0,-211000.0,-454000.0,Cash Flow
Total Cash from Operations,,,-66200.0,-31000.0,-37000.0,-60000.0,Cash Flow
Capital Expenditures,,,-12000.0,-20000.0,-6000.0,-15000.0,Cash Flow
Acquisition of Business,,,-172200.0,-179000.0,-6000.0,-42000.0,Cash Flow
Sale of Fixed Assets,,,500.0,1000.0,1000.0,1000.0,Cash Flow
"Investment, Net",,,-5200.0,-5000.0,,0.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-176900.0,-183000.0,-5000.0,-41000.0,Cash Flow
Total Cash from Investing,,,-188900.0,-203000.0,-11000.0,-56000.0,Cash Flow
Financing Cash Flow Items,,,-51800.0,-73000.0,-5000.0,-19000.0,Cash Flow
"Common Stock, Net",,,663700.0,664000.0,,0.0,Cash Flow
Options Exercised,,,99500.0,100000.0,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,763200.0,764000.0,,0.0,Cash Flow
Long Term Debt Issued,,,1500000.0,1518000.0,57000.0,214000.0,Cash Flow
Long Term Debt Reduction,,,-2332300.0,-2355000.0,-4000.0,-80000.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,-832300.0,-837000.0,53000.0,134000.0,Cash Flow
Total Cash From Financing,,,-120900.0,-146000.0,48000.0,115000.0,Cash Flow
Net Change in Cash,,,-376000.0,-380000.0,0.0,-1000.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,380900.0,381000.0,1000.0,1000.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,4900.0,1000.0,1000.0,0.0,Cash Flow
"Depreciation, Supplemental",,,112300.0,150000.0,36000.0,73000.0,Cash Flow
Free Cash Flow,,,-78200.0,-51000.0,-43000.0,-75000.0,
FCF Growth,,,,-0.34782608695652173,-0.1568627450980392,0.7441860465116279,
