,CNM
% Above Low,0.06849999999999999
% Held by Institutions,1.1002
52-Wk Range,['19.85 - 32.54']
Annual Dividend $,
Annual Dividend %,
Ask,24.2
Ask Size,800.0
B/A Ratio,1.25
B/A Size,1000x800
Beta,
Bid,20.0
Bid Size,1000.0
Closing Price,21.21
Day Change $,-0.13
Day Change %,-0.0060999999999999995
Day High,21.41
Day Low,21.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.85
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),34.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
"P/E Ratio (TTM, GAAP)",11.44
Prev Close,21.34
Short Interest,0.1354
Today's Open,21.37
Volume,367930.0
Volume 10-day Avg,593054.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.33333333333333326
Growth 2yr High Est,-0.009389671361502372
Growth 2yr Consensus Est,-0.17136150234741782
Growth 5yr Low Est,-0.33333333333333326
Growth 5yr High Est,-0.009389671361502372
Growth 5yr Consensus Est,-0.17136150234741782
Growth 5yr Actual/Est,0.5751207729468599
Growth 3yr Historic,0.0
Price/Earnings (TTM),11.44377
Price/Sales (TTM),0.85355
Price/Book (MRQ),3.36478
Price/Cash Flow (TTM),7.96373
5yr Low,19.85
5yr High,32.54
5yr Avg Return,0.04545
Short Int Current Month,8218599.0
Short Int Prev Month,6844242.0
Short Int Pct of Float,0.1354348
Days to Cover,10.41443
Float,168.0992
Shares Outstanding,245.8958
Institutions Holding Shares,217.0
FCF Growth 5yr,0.07983240481902232
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2651
Operating Profit Margin (TTM),0.1101
Net Profit Margin (TTM),0.083
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.33049999999999996
EPS Growth (TTM),3.5485
Revenue Growth (MRQ),0.16460000000000002
Revenue Growth (TTM),0.4559
Return On Equity (TTM),0.23879999999999998
Return On Assets (TTM),0.11019999999999999
Return On Investment (TTM),0.1613
Revenue Per Employee (TTM),1490317.0
Total Debt/Total Capital (MRQ),0.42600000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.2
Interest Coverage (MRQ),14.06
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-14 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,2022-09-14 00:00:00
newConstructs since,
marketEdge opinion since,
