,DAR
% Below High,0.1613
% Held by Institutions,0.9475
52-Wk Range,['55.71 - 87.59']
Annual Dividend $,
Annual Dividend %,
Ask,74.96
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.2
Bid,69.0
Bid Size,200.0
Closing Price,73.46
Day Change $,1.2
Day Change %,0.0166
Day High,73.88
Day Low,72.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.47
Ex-dividend Date,No dividend
Historical Volatility,0.46
Last (size),69.0
Last (time),5:00p ET 11/25/22
Market Cap,11.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",16.42
Prev Close,72.26
Short Interest,0.0172
Today's Open,72.73
Volume,619086.0
Volume 10-day Avg,1426364.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2872628726287263
Growth 1yr High Est,0.31343283582089576
Growth 1yr Consensus Est,0.30034785422481103
Growth 2yr Low Est,0.21731564684067894
Growth 2yr High Est,0.40198156942559937
Growth 2yr Consensus Est,0.30964860813313916
Growth 5yr Low Est,0.49110177561017637
Growth 5yr High Est,0.6289548977517813
Growth 5yr Consensus Est,0.5600283366809787
Growth 5yr Actual/Est,0.4173730272781019
Growth 3yr Historic,0.2608898398068905
Price/Earnings (TTM),16.42254
Price/Sales (TTM),1.93829
Price/Book (MRQ),3.28849
Price/Cash Flow (TTM),10.6683
5yr Low,10.25
5yr High,87.59
5yr Avg Return,0.31134999999999996
EPS Growth 5yr,0.4445551
Revenue Growth 5yr,0.06928
Dividend Growth 5yr,
Short Int Current Month,2732373.0
Short Int Prev Month,2294700.0
Short Int Pct of Float,0.017229
Days to Cover,1.70521
Float,158.8589
Shares Outstanding,160.2714
Institutions Holding Shares,756.0
FCF Growth 5yr,0.5417774086378738
"Price/Earnings (TTM, GAAP)",16.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2407
Operating Profit Margin (TTM),0.1631
Net Profit Margin (TTM),0.1227
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.047599999999999996
EPS Growth (TTM),0.3872
Revenue Growth (MRQ),0.059000000000000004
Revenue Growth (TTM),0.36460000000000004
Return On Equity (TTM),0.2172
Return On Assets (TTM),0.1012
Return On Investment (TTM),0.1165
Revenue Per Employee (TTM),613554.0
Total Debt/Total Capital (MRQ),0.47240000000000004
Change in Debt/Total Capital Quarter over Quarter,0.006
Quick Ratio (MRQ),0.9
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-08 00:00:00
ford since,2022-07-08 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2018-03-21 00:00:00
