,AXSM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),96.14,18.11,Valuation,5.308669243511872
Price/Book (MRQ),15.68,11.51,Valuation,1.3622936576889662
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.8867,0.6773,Profitability,1.3091687583050347
Operating Profit Margin (TTM),-5.9414,-0.8239000000000001,Profitability,7.211312052433547
Net Profit Margin (TTM),-6.229,-0.8640000000000001,Profitability,7.20949074074074
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),-0.013600000000000001,0.0883,Gowth rates,-0.15402038505096263
EPS Growth (TTM),-0.2157,0.5870000000000001,Gowth rates,-0.3674616695059625
Revenue Growth (MRQ),0.91,0.0441,Gowth rates,20.634920634920636
Revenue Growth (TTM),,0.1761,Gowth rates,
Return On Equity (TTM),-1.5981,0.30160000000000003,Effectiveness,-5.298740053050397
Return On Assets (TTM),-0.7019,0.092,Effectiveness,-7.629347826086956
Return On Investment (TTM),-0.8628,0.13820000000000002,Effectiveness,-6.243125904486251
Revenue Per Employee (TTM),237644.0,1425813.0,Effectiveness,0.16667262817774842
Total Debt/Total Capital (MRQ),0.3738,0.4169,Financial strength,0.8966178939793716
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002,0.0,Financial strength,-inf
Quick Ratio (MRQ),4.15,1.22,Financial strength,3.4016393442622954
Interest Coverage (MRQ),-17.59,26.08,Financial strength,-0.6744631901840491
