,AXSM
% Below High,0.21059999999999998
% Held by Institutions,0.5839
52-Wk Range,['20.63 - 71.98']
Annual Dividend $,
Annual Dividend %,
Ask,57.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,56.85
Bid Size,100.0
Closing Price,56.82
Day Change $,0.6
Day Change %,0.010700000000000001
Day High,57.17
Day Low,55.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.07
Ex-dividend Date,No dividend
Historical Volatility,1.043
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,56.22
Short Interest,0.1917
Today's Open,56.02
Volume,327439.0
Volume 10-day Avg,1199047.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.21447028423772618
Growth 1yr High Est,0.10632183908045989
Growth 1yr Consensus Est,0.16039606165909304
Growth 2yr Low Est,0.17106492935290563
Growth 2yr High Est,-0.2650208986415883
Growth 2yr Consensus Est,-0.04697798464434133
Growth 5yr Low Est,0.10895422771109738
Growth 5yr High Est,-0.055111971643411785
Growth 5yr Consensus Est,0.026921128033842796
Growth 5yr Actual/Est,0.15328025616926558
Growth 3yr Historic,0.15770425849093883
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),96.14
Price/Book (MRQ),15.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8867
Operating Profit Margin (TTM),-5.9414
Net Profit Margin (TTM),-6.229
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.013600000000000001
EPS Growth (TTM),-0.2157
Revenue Growth (MRQ),0.91
Revenue Growth (TTM),
Return On Equity (TTM),-1.5981
Return On Assets (TTM),-0.7019
Return On Investment (TTM),-0.8628
Revenue Per Employee (TTM),237644.0
Total Debt/Total Capital (MRQ),0.3738
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002
Quick Ratio (MRQ),4.15
Interest Coverage (MRQ),-17.59
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
