,STOK
% Above Low,0.0346
% Held by Institutions,0.9632
52-Wk Range,['7.08 - 26.60']
Annual Dividend $,
Annual Dividend %,
Ask,7.33
Ask Size,300.0
B/A Ratio,2.3333333333333335
B/A Size,700x300
Beta,0.6
Bid,7.32
Bid Size,700.0
Day Change $,-0.005
Day Change %,-0.0007000000000000001
Day High,7.55
Day Low,7.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.61
Ex-dividend Date,No dividend
Historical Volatility,0.843
Last (size),100.0
Last (time),3:33p ET 11/28/22
Market Cap,289.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.33
Price,7.33
Short Interest,0.1143
Today's Open,7.43
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.1652542372881356
Growth 1yr High Est,0.1711711711711712
Growth 1yr Consensus Est,0.1682127042296534
Growth 2yr Low Est,0.16262711864406776
Growth 2yr High Est,0.0855855855855856
Growth 2yr Consensus Est,0.12410635211482668
Growth 5yr Low Est,0.26675141242937844
Growth 5yr High Est,0.2137899488892867
Growth 5yr Consensus Est,0.24027068065933258
Growth 5yr Actual/Est,0.15029079108026472
Growth 3yr Historic,0.09166666666666662
Price/Earnings (TTM),
Price/Sales (TTM),31.6361
Price/Book (MRQ),1.41565
Price/Cash Flow (TTM),
5yr Low,7.17
5yr High,71.58
5yr Avg Return,-0.028549999999999985
Short Int Current Month,4220893.0
Short Int Prev Month,4587919.0
Short Int Pct of Float,0.1142519
Days to Cover,9.53878
Float,36.96508
Shares Outstanding,39.43075
Institutions Holding Shares,156.0
FCF Growth 5yr,-1.4325325581277724
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-11.1326
Net Profit Margin (TTM),-10.9304
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.05480000000000001
EPS Growth (TTM),-0.252
Revenue Growth (MRQ),-0.1009
Revenue Growth (TTM),
Return On Equity (TTM),-0.4522
Return On Assets (TTM),-0.37579999999999997
Return On Investment (TTM),-0.40700000000000003
Revenue Per Employee (TTM),89569.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-04-22 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
