,STOK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),31.64,45.03,Valuation,0.7026426826560072
Price/Book (MRQ),1.42,12.61,Valuation,0.11260904044409199
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-11.1326,-4.7459,Profitability,2.3457299985250426
Net Profit Margin (TTM),-10.9304,-4.5467,Profitability,2.4040292959729035
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.05480000000000001,-0.0014000000000000002,Gowth rates,39.142857142857146
EPS Growth (TTM),-0.252,0.027200000000000002,Gowth rates,-9.26470588235294
Revenue Growth (MRQ),-0.1009,1.3963999999999999,Gowth rates,-0.0722572328845603
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.4522,0.1967,Effectiveness,-2.298932384341637
Return On Assets (TTM),-0.37579999999999997,0.0016,Effectiveness,-234.87499999999997
Return On Investment (TTM),-0.40700000000000003,0.0219,Effectiveness,-18.584474885844752
Revenue Per Employee (TTM),89569.0,1476201.0,Effectiveness,0.06067534163708059
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
