,WABC
% Below High,0.0623
% Held by Institutions,0.7748
52-Wk Range,['52.04 - 63.86']
Annual Dividend $,1.68
Annual Dividend %,0.0275
Ask,59.89
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.7
Bid,59.8
Bid Size,100.0
Closing Price,59.88
Day Change $,-1.12
Day Change %,-0.0184
Day High,60.85
Day Low,59.69
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",3.88
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.22399999999999998
Last (size),14900.0
Last (time),3:59p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.71
Prev Close,61.0
Short Interest,0.0219
Today's Open,60.72
Volume,104413.0
Volume 10-day Avg,116605.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.43217665615141954
Growth 1yr High Est,0.4043209876543208
Growth 1yr Consensus Est,0.41824882190287016
Growth 2yr Low Est,0.32181520032240585
Growth 2yr High Est,0.39996269162935816
Growth 2yr Consensus Est,0.360888945975882
Growth 5yr Low Est,0.1810716631324316
Growth 5yr High Est,0.22344764697735986
Growth 5yr Consensus Est,0.2022596550548957
Growth 5yr Actual/Est,0.2029569252805684
Growth 3yr Historic,0.021124627143922436
Price/Earnings (TTM),15.71432
Price/Sales (TTM),6.86471
Price/Book (MRQ),3.04565
Price/Cash Flow (TTM),13.34522
5yr Low,46.94
5yr High,69.08
5yr Avg Return,0.0060833333333333295
EPS Growth 5yr,0.0703292
Revenue Growth 5yr,0.0499662
Dividend Growth 5yr,
Short Int Current Month,565206.0
Short Int Prev Month,590949.0
Short Int Pct of Float,0.021856300000000002
Days to Cover,4.35528
Float,25.86015
Shares Outstanding,26.91249
Institutions Holding Shares,243.0
FCF Growth 5yr,0.1255312269031781
"Price/Earnings (TTM, GAAP)",15.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5894
Net Profit Margin (TTM),0.4366
Annual Dividend Yield,0.0275
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3724
EPS Growth (TTM),0.1766
Revenue Growth (MRQ),0.2668
Revenue Growth (TTM),0.1283
Return On Equity (TTM),0.1517
Return On Assets (TTM),0.0143
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-07-22 00:00:00
theStreet since,2021-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-22 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
