,WABC
Price/Earnings (TTM),15.71432
Price/Sales (TTM),6.86471
Price/Book (MRQ),3.04565
Price/Cash Flow (TTM),13.34522
5yr Low,46.94
5yr High,69.08
5yr Avg Return,0.0060833333333333295
EPS Growth 5yr,0.0703292
Revenue Growth 5yr,0.0499662
Dividend Growth 5yr,
Short Int Current Month,565206.0
Short Int Prev Month,590949.0
Short Int Pct of Float,0.021856300000000002
Days to Cover,4.35528
Float,25.86015
Shares Outstanding,26.91249
Institutions Holding Shares,243.0
% Held by Institutions,0.77484
FCF Growth 5yr,0.1255312269031781
