,DSKE
% Above Low,0.2111
% Held by Institutions,0.4302
52-Wk Range,['4.69 - 13.17']
Annual Dividend $,
Annual Dividend %,
Ask,6.0
Ask Size,1000.0
B/A Ratio,1.0
B/A Size,1000x1000
Beta,1.9
Bid,5.5
Bid Size,1000.0
Closing Price,5.68
Day Change $,0.02
Day Change %,0.0034999999999999996
Day High,5.79
Day Low,5.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.68
Ex-dividend Date,No dividend
Historical Volatility,0.618
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,254.9M
"P/E Ratio (TTM, GAAP)",8.4
Prev Close,5.66
Short Interest,0.0246
Today's Open,5.72
Volume,57077.0
Volume 10-day Avg,422142.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-1.1050420168067228
Growth 1yr High Est,-1.1535181236673773
Growth 1yr Consensus Est,-1.12928007023705
Growth 2yr Low Est,-0.14252100840336135
Growth 2yr High Est,-0.33370350627813306
Growth 2yr Consensus Est,-0.2381122573407472
Growth 5yr Low Est,-0.07126050420168067
Growth 5yr High Est,-0.16685175313906653
Growth 5yr Consensus Est,-0.1190561286703736
Growth 5yr Actual/Est,9.218482151207846
Growth 3yr Historic,9.123971193415638
Price/Earnings (TTM),8.39839
Price/Sales (TTM),0.20277
Price/Book (MRQ),2.1667
Price/Cash Flow (TTM),2.64258
5yr Low,0.8574
5yr High,14.52
5yr Avg Return,0.05830000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.1902095
Dividend Growth 5yr,
Short Int Current Month,1426182.0
Short Int Prev Month,1226190.0
Short Int Pct of Float,0.0246443
Days to Cover,3.3957
Float,57.92251
Shares Outstanding,62.80782
Institutions Holding Shares,165.0
FCF Growth 5yr,0.4261059018825046
"Price/Earnings (TTM, GAAP)",8.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5139
Operating Profit Margin (TTM),0.057999999999999996
Net Profit Margin (TTM),0.0286
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2515
EPS Growth (TTM),-0.0031
Revenue Growth (MRQ),-0.0384
Revenue Growth (TTM),0.17440000000000003
Return On Equity (TTM),0.3369
Return On Assets (TTM),0.0432
Return On Investment (TTM),0.0545
Revenue Per Employee (TTM),439191.0
Total Debt/Total Capital (MRQ),0.7316
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.66
Interest Coverage (MRQ),3.35
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-04-06 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-04-06 00:00:00
marketEdge opinion since,
