,UPLD
% Above Low,0.14
% Held by Institutions,0.7698999999999999
52-Wk Range,['6.43 - 21.62']
Annual Dividend $,
Annual Dividend %,
Ask,7.33
Ask Size,500.0
B/A Ratio,2.2
B/A Size,1100x500
Beta,0.8
Bid,7.3
Bid Size,1100.0
Closing Price,7.33
Day Change $,-0.34
Day Change %,-0.0443
Day High,7.67
Day Low,7.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.72
Ex-dividend Date,No dividend
Historical Volatility,0.5760000000000001
Last (size),4.0
Last (time),3:59p ET 11/28/22
Market Cap,232.3M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,7.67
Short Interest,0.0444
Today's Open,7.64
Volume,317573.0
Volume 10-day Avg,369152.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.2232142857142858
Growth 1yr High Est,-0.23293172690763064
Growth 1yr Consensus Est,-0.22807300631095823
Growth 2yr Low Est,-0.3587335796387521
Growth 2yr High Est,-0.11384806240669493
Growth 2yr Consensus Est,-0.2362908210227235
Growth 5yr Low Est,-0.17936678981937604
Growth 5yr High Est,-0.056924031203347464
Growth 5yr Consensus Est,-0.11814541051136175
Growth 5yr Actual/Est,-0.1258700232843972
Growth 3yr Historic,-0.028455284552845517
Price/Earnings (TTM),
Price/Sales (TTM),0.77569
Price/Book (MRQ),0.78894
Price/Cash Flow (TTM),224.2296
5yr Low,6.43
5yr High,54.87
5yr Avg Return,-0.07518333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.3220991
Dividend Growth 5yr,
Short Int Current Month,1199759.0
Short Int Prev Month,1297053.0
Short Int Pct of Float,0.0444475
Days to Cover,2.4278
Float,27.25747
Shares Outstanding,31.77804
Institutions Holding Shares,178.0
FCF Growth 5yr,0.3313611072955279
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6747
Operating Profit Margin (TTM),-0.0906
Net Profit Margin (TTM),-0.1693
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5731
EPS Growth (TTM),0.0833
Revenue Growth (MRQ),-0.0085
Revenue Growth (TTM),0.0318
Return On Equity (TTM),-0.1745
Return On Assets (TTM),-0.049800000000000004
Return On Investment (TTM),-0.0579
Revenue Per Employee (TTM),363262.0
Total Debt/Total Capital (MRQ),0.5512
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.41
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-16 00:00:00
theStreet since,2021-11-11 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
