,UPLD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),0.78,9.39,Valuation,0.08306709265175719
Price/Book (MRQ),0.79,12.63,Valuation,0.0625494853523357
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6747,0.7206,Profitability,0.9363030807660282
Operating Profit Margin (TTM),-0.0906,0.2172,Profitability,-0.4171270718232044
Net Profit Margin (TTM),-0.1693,0.1553,Profitability,-1.0901481004507405
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.5731,-0.0752,Gowth rates,-7.621010638297872
EPS Growth (TTM),0.0833,-0.2824,Gowth rates,-0.294971671388102
Revenue Growth (MRQ),-0.0085,0.15560000000000002,Gowth rates,-0.05462724935732648
Revenue Growth (TTM),0.0318,0.1906,Gowth rates,0.16684155299055617
Return On Equity (TTM),-0.1745,0.2189,Effectiveness,-0.7971676564641388
Return On Assets (TTM),-0.049800000000000004,0.10740000000000001,Effectiveness,-0.46368715083798884
Return On Investment (TTM),-0.0579,0.1387,Effectiveness,-0.4174477289113194
Revenue Per Employee (TTM),363262.0,667721.0,Effectiveness,0.5440326124234524
Total Debt/Total Capital (MRQ),0.5512,0.39659999999999995,Financial strength,1.3898134140191631
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0004,Financial strength,-2.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),0.41,0.28,Financial strength,1.464285714285714
