,GDDY
% Above Low,0.1743
% Held by Institutions,0.9684
52-Wk Range,['64.65 - 88.32']
Annual Dividend $,
Annual Dividend %,
Ask,84.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,57.62
Bid Size,100.0
Closing Price,75.92
Day Change $,0.57
Day Change %,0.0076
Day High,76.36
Day Low,74.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.11
Ex-dividend Date,No dividend
Historical Volatility,0.39
Last (size),23.0
Last (time),5:00p ET 11/25/22
Market Cap,11.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",35.91
Prev Close,75.35
Short Interest,0.0167
Today's Open,74.91
Volume,368010.0
Volume 10-day Avg,723155.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-1.6645569620253164
Growth 1yr High Est,-1.8131487889273357
Growth 1yr Consensus Est,-1.7388528754763262
Growth 2yr Low Est,-0.8822784810126583
Growth 2yr High Est,-0.6235956710594125
Growth 2yr Consensus Est,-0.7529370760360354
Growth 5yr Low Est,-2.077104152787031
Growth 5yr High Est,-1.32232415131918
Growth 5yr Consensus Est,-1.6997141520531054
Growth 5yr Actual/Est,-1.3907021857487811
Growth 3yr Historic,-1.5878535624776227
Price/Earnings (TTM),35.91007
Price/Sales (TTM),2.89786
Price/Book (MRQ),
Price/Cash Flow (TTM),21.78449
5yr Low,40.25
5yr High,93.75
5yr Avg Return,0.07721666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1560567
Dividend Growth 5yr,
Short Int Current Month,2580459.0
Short Int Prev Month,2694187.0
Short Int Pct of Float,0.0166735
Days to Cover,1.826
Float,154.7595
Shares Outstanding,155.378
Institutions Holding Shares,633.0
FCF Growth 5yr,0.31143915948960804
"Price/Earnings (TTM, GAAP)",35.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6369
Operating Profit Margin (TTM),0.1201
Net Profit Margin (TTM),0.0851
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.12710000000000002
EPS Growth (TTM),0.5910000000000001
Revenue Growth (MRQ),0.0174
Revenue Growth (TTM),0.1091
Return On Equity (TTM),
Return On Assets (TTM),0.04820000000000001
Return On Investment (TTM),0.0737
Revenue Per Employee (TTM),615747.0
Total Debt/Total Capital (MRQ),1.0769
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.79
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-10-14 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
