,GDDY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.91,53.12,Valuation,0.6760165662650602
Price/Sales (TTM),2.9,19.35,Valuation,0.1498708010335917
Price/Book (MRQ),,19.03,Valuation,
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.6369,0.44520000000000004,Profitability,1.4305929919137466
Operating Profit Margin (TTM),0.1201,0.3027,Profitability,0.3967624710934919
Net Profit Margin (TTM),0.0851,0.23600000000000002,Profitability,0.360593220338983
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.12710000000000002,-3.5570999999999997,Gowth rates,-0.03573135419302242
EPS Growth (TTM),0.5910000000000001,0.15560000000000002,Gowth rates,3.7982005141388178
Revenue Growth (MRQ),0.0174,0.16460000000000002,Gowth rates,0.10571081409477519
Revenue Growth (TTM),0.1091,0.2273,Gowth rates,0.4799824021117466
Return On Equity (TTM),,0.5459,Effectiveness,
Return On Assets (TTM),0.04820000000000001,0.1131,Effectiveness,0.42617152961980553
Return On Investment (TTM),0.0737,0.189,Effectiveness,0.38994708994708993
Revenue Per Employee (TTM),615747.0,686063.0,Effectiveness,0.897507954808815
Total Debt/Total Capital (MRQ),1.0769,0.5613,Financial strength,1.9185818635310885
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0048,Financial strength,0.0625
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),3.79,27.21,Financial strength,0.1392870268283719
