,TOL
% Above Low,0.1654
% Held by Institutions,0.8389
52-Wk Range,['39.53 - 75.61']
Annual Dividend $,0.8
Annual Dividend %,0.0171
Ask,46.85
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.4
Bid,45.4
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,46.07
Day Change $,-0.75
Day Change %,-0.016
Day High,47.0
Day Low,45.73
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",8.46
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.443
Last (size),350.0
Last (time),4:10p ET 11/28/22
Last Trade,46.07
Market Cap,5.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.53
Prev Close,46.82
Short Interest,0.0359
Today's Open,46.49
Volume,904895.0
Volume 10-day Avg,1134015.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,1.3255208333333335
Growth 1yr High Est,1.4603960396039604
Growth 1yr Consensus Est,1.392958436468647
Growth 2yr Low Est,0.4891881882232177
Growth 2yr High Est,0.833819750184274
Growth 2yr Consensus Est,0.6615039692037459
Growth 5yr Low Est,0.24459409411160885
Growth 5yr High Est,0.416909875092137
Growth 5yr Consensus Est,0.33075198460187294
Growth 5yr Actual/Est,0.2855104409531868
Growth 3yr Historic,0.19841811414392058
Price/Earnings (TTM),5.53457
Price/Sales (TTM),0.55244
Price/Book (MRQ),0.96067
Price/Cash Flow (TTM),4.8419
5yr Low,13.28
5yr High,75.61
5yr Avg Return,0.04439999999999999
EPS Growth 5yr,0.2489911
Revenue Growth 5yr,0.1120172
Dividend Growth 5yr,
Short Int Current Month,3787513.0
Short Int Prev Month,4946865.0
Short Int Pct of Float,0.0359417
Days to Cover,2.5416
Float,105.3039
Shares Outstanding,113.33
Institutions Holding Shares,507.0
FCF Growth 5yr,-0.3946841982396861
"Price/Earnings (TTM, GAAP)",5.53
"PEG Ratio (TTM, GAAP)",1.55
Gross Profit Margin (TTM),0.23120000000000002
Operating Profit Margin (TTM),0.1309
Net Profit Margin (TTM),0.10619999999999999
Annual Dividend Yield,0.0171
Dividend Change %,0.40909999999999996
"Dividend Growth Rate, 3 Years",0.1478
EPS Growth (MRQ),0.26739999999999997
EPS Growth (TTM),0.6306
Revenue Growth (MRQ),0.0954
Revenue Growth (TTM),0.158
Return On Equity (TTM),0.1933
Return On Assets (TTM),0.08869999999999999
Return On Investment (TTM),0.1164
Revenue Per Employee (TTM),1883295.0
Total Debt/Total Capital (MRQ),0.374
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-07-01 00:00:00
theStreet since,2020-09-29 00:00:00
cfra since,2022-07-20 00:00:00
ford since,2022-09-30 00:00:00
marketEdge opinion since,
