,LSCC
% Below High,0.1532
% Held by Institutions,0.9945
52-Wk Range,['43.41 - 81.47']
Annual Dividend $,
Annual Dividend %,
Ask,70.51
Ask Size,200.0
Ask close,73.76
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,67.04
Bid Size,100.0
Bid close,64.72
Change Since Close,-2.06| |(-2.99%)
Closing Price,68.99
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.11
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,66.93
Market Cap,9.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",62.43
Prev Close,68.99
Short Interest,0.048600000000000004
Today's Open,
Volume,1.0
Volume 10-day Avg,2290321.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.7227722772277227
Growth 1yr High Est,0.7087378640776698
Growth 1yr Consensus Est,0.7157550706526963
Growth 2yr Low Est,0.4073631501081142
Growth 2yr High Est,0.4708462047661076
Growth 2yr Consensus Est,0.4391046774371109
Growth 5yr Low Est,0.37440689581865516
Growth 5yr High Est,0.4022351661916281
Growth 5yr Consensus Est,0.38832103100514165
Growth 5yr Actual/Est,0.37773812999845735
Growth 3yr Historic,0.176430852370425
Price/Earnings (TTM),62.42535
Price/Sales (TTM),15.10039
Price/Book (MRQ),21.40117
Price/Cash Flow (TTM),51.50488
5yr Low,5.05
5yr High,85.45
5yr Avg Return,0.6354
EPS Growth 5yr,
Revenue Growth 5yr,0.0382932
Dividend Growth 5yr,
Short Int Current Month,6551122.0
Short Int Prev Month,5818535.0
Short Int Pct of Float,0.048639999999999996
Days to Cover,2.94143
Float,134.6825
Shares Outstanding,137.0594
Institutions Holding Shares,479.0
FCF Growth 5yr,0.37432954076971486
"Price/Earnings (TTM, GAAP)",62.43
"PEG Ratio (TTM, GAAP)",4.16
Gross Profit Margin (TTM),0.6724
Operating Profit Margin (TTM),0.2606
Net Profit Margin (TTM),0.2483
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.042800000000000005
EPS Growth (TTM),0.8799
Revenue Growth (MRQ),0.069
Revenue Growth (TTM),0.3027
Return On Equity (TTM),0.3726
Return On Assets (TTM),0.2125
Return On Investment (TTM),0.2488
Revenue Per Employee (TTM),731532.0
Total Debt/Total Capital (MRQ),0.2518
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),2.23
Interest Coverage (MRQ),40.34
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-03-29 00:00:00
theStreet since,2020-07-29 00:00:00
cfra since,2016-11-08 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
