,LSCC
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.7227722772277227
Growth 1yr High Est,0.7087378640776698
Growth 1yr Consensus Est,0.7157550706526963
Growth 2yr Low Est,0.4073631501081142
Growth 2yr High Est,0.4708462047661076
Growth 2yr Consensus Est,0.4391046774371109
Growth 5yr Low Est,0.37440689581865516
Growth 5yr High Est,0.4022351661916281
Growth 5yr Consensus Est,0.38832103100514165
Growth 5yr Actual/Est,0.37773812999845735
Growth 3yr Historic,0.176430852370425
