,NFBK
% Below High,0.0971
% Held by Institutions,0.5802
52-Wk Range,['11.87 - 17.50']
Annual Dividend $,0.52
Annual Dividend %,0.0329
Ask,18.39
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.7
Bid,5.85
Bid Size,200.0
Closing Price,15.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",1.35
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.237
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,754.8M
"P/E Ratio (TTM, GAAP)",11.74
Prev Close,15.8
Short Interest,0.0143
Today's Open,
Volume,75177.0
Volume 10-day Avg,104344.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.03597122302158262
Growth 1yr High Est,-0.03472222222222221
Growth 1yr Consensus Est,-0.035346722621902416
Growth 2yr Low Est,-0.0739557607645227
Growth 2yr High Est,0.03299860111910474
Growth 2yr Consensus Est,-0.02047857982270898
Growth 5yr Low Est,0.14203446529675096
Growth 5yr High Est,0.19002871232425825
Growth 5yr Consensus Est,0.16603158881050462
Growth 5yr Actual/Est,0.1497443865276664
Growth 3yr Historic,0.17445280437756494
Price/Earnings (TTM),11.73971
Price/Sales (TTM),4.5367
Price/Book (MRQ),1.09135
Price/Cash Flow (TTM),11.26732
5yr Low,8.72
5yr High,18.41
5yr Avg Return,0.0009166666666666642
EPS Growth 5yr,0.2045206
Revenue Growth 5yr,0.06633460000000001
Dividend Growth 5yr,0.10032669999999999
Short Int Current Month,605066.0
Short Int Prev Month,694389.0
Short Int Pct of Float,0.0143316
Days to Cover,5.23024
Float,42.21887
Shares Outstanding,47.77058
Institutions Holding Shares,189.0
FCF Growth 5yr,0.25600890926891023
"Price/Earnings (TTM, GAAP)",11.74
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5235000000000001
Net Profit Margin (TTM),0.37920000000000004
Annual Dividend Yield,0.0329
Dividend Change %,0.13640000000000002
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),0.0789
EPS Growth (TTM),-0.016200000000000003
Revenue Growth (MRQ),0.08800000000000001
Revenue Growth (TTM),-0.0040999999999999995
Return On Equity (TTM),0.08810000000000001
Return On Assets (TTM),0.011399999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-04 00:00:00
theStreet since,2020-12-03 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
