,CPSI
% Above Low,0.1535
% Held by Institutions,0.9122
52-Wk Range,['25.33 - 35.50']
Annual Dividend $,
Annual Dividend %,
Ask,36.33
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,11.7
Bid Size,200.0
Closing Price,29.22
Day Change $,0.08
Day Change %,0.0027
Day High,29.41
Day Low,29.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.27
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),7.0
Last (time),12:59p ET 11/25/22
Market Cap,424.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.93
Prev Close,29.14
Short Interest,0.0202
Today's Open,29.03
Volume,18057.0
Volume 10-day Avg,66497.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.1013215859030836
Growth 1yr High Est,0.035573122529644285
Growth 1yr Consensus Est,0.06844735421636394
Growth 2yr Low Est,0.07266079295154182
Growth 2yr High Est,0.10175602691367713
Growth 2yr Consensus Est,0.08720840993260948
Growth 5yr Low Est,0.03633039647577091
Growth 5yr High Est,0.05087801345683857
Growth 5yr Consensus Est,0.04360420496630474
Growth 5yr Actual/Est,0.03794005478763576
Growth 3yr Historic,0.022678089174252847
Price/Earnings (TTM),22.927
Price/Sales (TTM),1.33608
Price/Book (MRQ),1.82627
Price/Cash Flow (TTM),10.48929
5yr Low,16.93
5yr High,37.62
5yr Avg Return,-0.0016166666666666638
EPS Growth 5yr,0.3376869
Revenue Growth 5yr,0.009800999999999999
Dividend Growth 5yr,
Short Int Current Month,279780.0
Short Int Prev Month,263934.0
Short Int Pct of Float,0.0201952
Days to Cover,2.92256
Float,13.90146
Shares Outstanding,14.51414
Institutions Holding Shares,218.0
FCF Growth 5yr,0.025740975753173762
"Price/Earnings (TTM, GAAP)",22.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4855
Operating Profit Margin (TTM),0.0848
Net Profit Margin (TTM),0.0591
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2928
EPS Growth (TTM),0.1526
Revenue Growth (MRQ),0.0012
Revenue Growth (TTM),0.1607
Return On Equity (TTM),0.0819
Return On Assets (TTM),0.0454
Return On Investment (TTM),0.050800000000000005
Revenue Per Employee (TTM),158712.0
Total Debt/Total Capital (MRQ),0.37590000000000007
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.74
Interest Coverage (MRQ),3.36
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-17 00:00:00
ford since,2022-06-17 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-10-25 00:00:00
