,KBH
Price/Earnings (TTM),3.60565
Price/Sales (TTM),0.39782
Price/Book (MRQ),0.81591
Price/Cash Flow (TTM),3.27808
5yr Low,9.82
5yr High,52.48
5yr Avg Return,0.0801
EPS Growth 5yr,0.3993636
Revenue Growth 5yr,0.09754619999999999
Dividend Growth 5yr,0.4309691
Short Int Current Month,6440434.0
Short Int Prev Month,6910328.0
Short Int Pct of Float,0.0846551
Days to Cover,4.25522
Float,69.5158
Shares Outstanding,85.58422
Institutions Holding Shares,382.0
% Held by Institutions,0.869653
FCF Growth 5yr,0.8330688660174004
