,KBH
% Above Low,0.2454
% Held by Institutions,0.8697
52-Wk Range,['24.78 - 50.20']
Annual Dividend $,0.6
Annual Dividend %,0.0194
Ask,39.98
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,25.2
Bid Size,100.0
Closing Price,30.86
Day Change $,-0.05
Day Change %,-0.0016
Day High,30.92
Day Low,30.58
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",8.56
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.501
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.61
Prev Close,30.91
Short Interest,0.08470000000000001
Today's Open,30.62
Volume,235782.0
Volume 10-day Avg,1260243.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-11 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.596551724137931
Growth 1yr High Est,0.6103678929765886
Growth 1yr Consensus Est,0.6034598085572598
Growth 2yr Low Est,0.0450361212482312
Growth 2yr High Est,0.2652047149202776
Growth 2yr Consensus Est,0.1551204180842544
Growth 5yr Low Est,0.35251806062411556
Growth 5yr High Est,0.3999033955224226
Growth 5yr Consensus Est,0.37621072807326905
Growth 5yr Actual/Est,0.33284790712426815
Growth 3yr Historic,0.254593352390561
Price/Earnings (TTM),3.60565
Price/Sales (TTM),0.39782
Price/Book (MRQ),0.81591
Price/Cash Flow (TTM),3.27808
5yr Low,9.82
5yr High,52.48
5yr Avg Return,0.0801
EPS Growth 5yr,0.3993636
Revenue Growth 5yr,0.09754619999999999
Dividend Growth 5yr,0.4309691
Short Int Current Month,6440434.0
Short Int Prev Month,6910328.0
Short Int Pct of Float,0.0846551
Days to Cover,4.25522
Float,69.5158
Shares Outstanding,85.58422
Institutions Holding Shares,382.0
FCF Growth 5yr,0.8330688660174004
"Price/Earnings (TTM, GAAP)",3.61
"PEG Ratio (TTM, GAAP)",1.01
Gross Profit Margin (TTM),0.17149999999999999
Operating Profit Margin (TTM),0.1486
Net Profit Margin (TTM),0.1167
Annual Dividend Yield,0.0194
Dividend Change %,0.6667000000000001
"Dividend Growth Rate, 3 Years",0.8170999999999999
EPS Growth (MRQ),0.23199999999999998
EPS Growth (TTM),0.6369
Revenue Growth (MRQ),0.0726
Revenue Growth (TTM),0.266
Return On Equity (TTM),0.2434
Return On Assets (TTM),0.12400000000000001
Return On Investment (TTM),0.1504
Revenue Per Employee (TTM),2958531.0
Total Debt/Total Capital (MRQ),0.3679
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-06-21 00:00:00
researchTeam since,2022-10-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-18 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
