,KBH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.61,7.14,Valuation,0.5056022408963585
Price/Sales (TTM),0.4,7.33,Valuation,0.054570259208731244
Price/Book (MRQ),0.82,2.07,Valuation,0.3961352657004831
"PEG Ratio (TTM, GAAP)",1.01,0.43,Valuation,2.3488372093023258
Gross Profit Margin (TTM),0.17149999999999999,0.3091,Profitability,0.5548366224522808
Operating Profit Margin (TTM),0.1486,0.1507,Profitability,0.9860650298606504
Net Profit Margin (TTM),0.1167,0.11320000000000001,Profitability,1.0309187279151943
Annual Dividend Yield,0.0194,0.016399999999999998,Dividend,1.1829268292682928
Dividend Change %,0.6667000000000001,0.2639,Dividend,2.526335733232285
"Dividend Growth Rate, 3 Years",0.8170999999999999,0.1757,Dividend,4.650540694365396
EPS Growth (MRQ),0.23199999999999998,-0.0688,Gowth rates,-3.3720930232558137
EPS Growth (TTM),0.6369,0.16670000000000001,Gowth rates,3.820635872825435
Revenue Growth (MRQ),0.0726,0.1173,Gowth rates,0.618925831202046
Revenue Growth (TTM),0.266,0.149,Gowth rates,1.7852348993288591
Return On Equity (TTM),0.2434,0.38439999999999996,Effectiveness,0.6331945889698232
Return On Assets (TTM),0.12400000000000001,0.135,Effectiveness,0.9185185185185185
Return On Investment (TTM),0.1504,0.1699,Effectiveness,0.885226603884638
Revenue Per Employee (TTM),2958531.0,1633986.0,Effectiveness,1.8106220004332962
Total Debt/Total Capital (MRQ),0.3679,0.29309999999999997,Financial strength,1.2552030023882634
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,-0.0005,Financial strength,1.4000000000000001
Quick Ratio (MRQ),,0.53,Financial strength,
Interest Coverage (MRQ),,51.09,Financial strength,
