,GOGO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.58,25.68,Valuation,0.411993769470405
Price/Sales (TTM),5.2,2.14,Valuation,2.4299065420560746
Price/Book (MRQ),,2.54,Valuation,
"PEG Ratio (TTM, GAAP)",,0.52,Valuation,
Gross Profit Margin (TTM),0.6743000000000001,0.6029,Profitability,1.1184275999336541
Operating Profit Margin (TTM),0.3502,0.07200000000000001,Profitability,4.863888888888888
Net Profit Margin (TTM),0.7046,0.0338,Profitability,20.846153846153847
Annual Dividend Yield,,0.0005,Dividend,
Dividend Change %,,-0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0015,Dividend,
EPS Growth (MRQ),-0.0802,-0.49090000000000006,Gowth rates,0.16337339580362595
EPS Growth (TTM),3.0723000000000003,0.4903,Gowth rates,6.266163573322456
Revenue Growth (MRQ),0.0765,0.0401,Gowth rates,1.9077306733167083
Revenue Growth (TTM),0.20920000000000002,0.0589,Gowth rates,3.5517826825127337
Return On Equity (TTM),,0.0433,Effectiveness,
Return On Assets (TTM),0.4668,0.0148,Effectiveness,31.54054054054054
Return On Investment (TTM),0.6263000000000001,0.015500000000000002,Effectiveness,40.406451612903226
Revenue Per Employee (TTM),1032457.0,1257415.0,Effectiveness,0.821094865259282
Total Debt/Total Capital (MRQ),1.2248999999999999,0.554,Financial strength,2.211010830324909
Change in Debt/Total Capital Quarter over Quarter,-0.0047,0.0009,Financial strength,-5.222222222222222
Quick Ratio (MRQ),3.13,0.79,Financial strength,3.962025316455696
Interest Coverage (MRQ),4.49,3.9,Financial strength,1.1512820512820514
