,DDS
% Below High,0.0378
% Held by Institutions,0.7341
52-Wk Range,['193.00 - 390.80']
Annual Dividend $,0.8
Annual Dividend %,0.0021
Ask,387.13
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.8
Bid,355.0
Bid Size,400.0
Closing Price,376.03
Day Change $,2.36
Day Change %,0.0063
Day High,377.89
Day Low,368.31
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",50.58
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.713
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.43
Prev Close,373.67
Short Interest,0.16949999999999998
Today's Open,371.94
Volume,55123.0
Volume 10-day Avg,205447.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6490384615384616
Growth 2yr High Est,-0.23053951821620544
Growth 2yr Consensus Est,-0.4397889898773335
Growth 5yr Low Est,-0.6490384615384616
Growth 5yr High Est,-0.23053951821620544
Growth 5yr Consensus Est,-0.4397889898773335
Growth 5yr Actual/Est,-2.344555227969629
Growth 3yr Historic,-2.547742704712635
Price/Earnings (TTM),7.43492
Price/Sales (TTM),0.92221
Price/Book (MRQ),4.93511
Price/Cash Flow (TTM),5.75981
5yr Low,21.5
5yr High,416.71
5yr Avg Return,0.5870166666666666
EPS Growth 5yr,0.5339037
Revenue Growth 5yr,0.0063463999999999994
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,1500643.0
Short Int Prev Month,1440245.0
Short Int Pct of Float,0.1695049
Days to Cover,7.49594
Float,5.1532
Shares Outstanding,17.13592
Institutions Holding Shares,284.0
FCF Growth 5yr,0.018746197065584003
"Price/Earnings (TTM, GAAP)",7.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44060000000000005
Operating Profit Margin (TTM),0.1714
Net Profit Margin (TTM),0.1322
Annual Dividend Yield,0.0021
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",0.20510000000000003
EPS Growth (MRQ),0.1821
EPS Growth (TTM),0.7491
Revenue Growth (MRQ),-0.027700000000000002
Revenue Growth (TTM),0.1482
Return On Equity (TTM),0.5821000000000001
Return On Assets (TTM),0.2452
Return On Investment (TTM),0.3786
Revenue Per Employee (TTM),347620.0
Total Debt/Total Capital (MRQ),0.2602
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.64
Interest Coverage (MRQ),35.67
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-27 00:00:00
cfra since,2022-10-27 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-05-14 00:00:00
