,LYB
% Above Low,0.2145
% Held by Institutions,0.7015
52-Wk Range,['71.46 - 117.22']
Annual Dividend $,4.76
Annual Dividend %,0.0548
Ask,86.74
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,85.32
Bid Size,100.0
Change Since Close,-0.36| |(-0.41%)
Closing Price,86.79
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",12.93
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.349
Last (size),8.0
Last (time),5:00p ET 11/25/22
Last Trade,86.43
Market Cap,28.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.71
Prev Close,86.79
Short Interest,0.026099999999999998
Today's Open,
Volume,9.0
Volume 10-day Avg,2262213.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.3279258400927
Growth 1yr High Est,-0.32227979274611396
Growth 1yr Consensus Est,-0.32510281641940697
Growth 2yr Low Est,-0.3600836097015224
Growth 2yr High Est,-0.23109402481342395
Growth 2yr Consensus Est,-0.2955888172574732
Growth 5yr Low Est,0.019437361815905496
Growth 5yr High Est,0.10381096424698458
Growth 5yr Consensus Est,0.06162416303144504
Growth 5yr Actual/Est,0.32006655059751954
Growth 3yr Historic,0.4570048079964573
Price/Earnings (TTM),6.70976
Price/Sales (TTM),0.53247
Price/Book (MRQ),2.31817
Price/Cash Flow (TTM),5.06469
5yr Low,33.71
5yr High,121.95
5yr Avg Return,-0.025549999999999993
EPS Growth 5yr,0.1294695
Revenue Growth 5yr,0.0961037
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,6657662.0
Short Int Prev Month,5606349.0
Short Int Pct of Float,0.0261388
Days to Cover,2.56085
Float,254.7626
Shares Outstanding,325.6244
Institutions Holding Shares,1155.0
FCF Growth 5yr,0.2179242850711025
"Price/Earnings (TTM, GAAP)",6.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1441
Operating Profit Margin (TTM),0.1041
Net Profit Margin (TTM),0.0805
Annual Dividend Yield,0.05480000000000001
Dividend Change %,0.0571
"Dividend Growth Rate, 3 Years",0.0354
EPS Growth (MRQ),-0.6506000000000001
EPS Growth (TTM),-0.2468
Revenue Growth (MRQ),-0.17440000000000003
Revenue Growth (TTM),0.2857
Return On Equity (TTM),0.3554
Return On Assets (TTM),0.11359999999999999
Return On Investment (TTM),0.1427
Revenue Per Employee (TTM),2778796.0
Total Debt/Total Capital (MRQ),0.47880000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),9.12
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-07-09 00:00:00
theStreet since,2021-08-02 00:00:00
cfra since,2022-04-19 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
