,DGX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.69,29.13,Valuation,0.5042911088225197
Price/Sales (TTM),1.65,1.32,Valuation,1.2499999999999998
Price/Book (MRQ),2.73,4.31,Valuation,0.6334106728538283
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.36460000000000004,0.1318,Profitability,2.766312594840668
Operating Profit Margin (TTM),0.1777,0.0458,Profitability,3.8799126637554586
Net Profit Margin (TTM),0.121,0.0242,Profitability,5.0
Annual Dividend Yield,0.0177,0.0108,Dividend,1.6388888888888888
Dividend Change %,0.095,7.1517,Dividend,0.013283554958960806
"Dividend Growth Rate, 3 Years",0.0746,0.3483,Dividend,0.2141831754234855
EPS Growth (MRQ),0.0994,-0.1478,Gowth rates,-0.6725304465493911
EPS Growth (TTM),-0.39130000000000004,-1.101,Gowth rates,0.35540417801998186
Revenue Growth (MRQ),0.013500000000000002,0.0931,Gowth rates,0.14500537056928037
Revenue Growth (TTM),-0.0681,0.1191,Gowth rates,-0.5717884130982367
Return On Equity (TTM),0.1948,7.2022,Effectiveness,0.02704729110549554
Return On Assets (TTM),0.09300000000000001,0.0403,Effectiveness,2.307692307692308
Return On Investment (TTM),0.10740000000000001,0.016,Effectiveness,6.7125
Revenue Per Employee (TTM),257350.0,1375304.0,Effectiveness,0.18712226533188298
Total Debt/Total Capital (MRQ),0.3854,0.4855,Financial strength,0.7938208032955716
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0015,Financial strength,0.13333333333333333
Quick Ratio (MRQ),1.34,0.31,Financial strength,4.322580645161291
Interest Coverage (MRQ),12.27,9.55,Financial strength,1.2848167539267015
