,DGX
% Below High,0.1441
% Held by Institutions,0.9172
52-Wk Range,['120.40 - 174.16']
Annual Dividend $,2.64
Annual Dividend %,0.0177
Ask,153.5
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.0
Bid,146.77
Bid Size,100.0
Closing Price,149.06
Day Change $,0.6
Day Change %,0.004
Day High,149.7
Day Low,147.59
Dividend Pay Date,2023-02-01 00:00:00
"EPS (TTM, GAAP)",10.15
Ex-dividend,2023-01-17 00:00:00
Ex-dividend Date,01/17/23
Historical Volatility,0.264
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,17.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.69
Prev Close,148.46
Short Interest,0.046900000000000004
Today's Open,148.88
Volume,459112.0
Volume 10-day Avg,1137511.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.29646017699115057
Growth 1yr High Est,-0.31046431046431044
Growth 1yr Consensus Est,-0.3034622437277305
Growth 2yr Low Est,-0.21584015138865703
Growth 2yr High Est,-0.21050853714170292
Growth 2yr Consensus Est,-0.21317434426517998
Growth 5yr Low Est,0.11536988982200516
Growth 5yr High Est,0.14722312450121028
Growth 5yr Consensus Est,0.13129650716160773
Growth 5yr Actual/Est,0.13294686195791633
Growth 3yr Historic,0.24449283345695716
Price/Earnings (TTM),14.68841
Price/Sales (TTM),1.64912
Price/Book (MRQ),2.7254
Price/Cash Flow (TTM),10.14708
5yr Low,73.02
5yr High,174.16
5yr Avg Return,0.10425
EPS Growth 5yr,0.2799467
Revenue Growth 5yr,0.074985
Dividend Growth 5yr,0.0890095
Short Int Current Month,5291723.0
Short Int Prev Month,5014577.0
Short Int Pct of Float,0.0468511
Days to Cover,4.3598
Float,113.071
Shares Outstanding,113.8875
Institutions Holding Shares,1176.0
FCF Growth 5yr,0.17548904018236774
"Price/Earnings (TTM, GAAP)",14.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.36460000000000004
Operating Profit Margin (TTM),0.1777
Net Profit Margin (TTM),0.121
Annual Dividend Yield,0.0177
Dividend Change %,0.095
"Dividend Growth Rate, 3 Years",0.0746
EPS Growth (MRQ),0.0994
EPS Growth (TTM),-0.39130000000000004
Revenue Growth (MRQ),0.013500000000000002
Revenue Growth (TTM),-0.0681
Return On Equity (TTM),0.1948
Return On Assets (TTM),0.09300000000000001
Return On Investment (TTM),0.10740000000000001
Revenue Per Employee (TTM),257350.0
Total Debt/Total Capital (MRQ),0.3854
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.34
Interest Coverage (MRQ),12.27
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-04-21 00:00:00
cfra since,2022-04-21 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-05-15 00:00:00
