,CWT
% Below High,0.0909
% Held by Institutions,0.8303
52-Wk Range,['48.46 - 72.08']
Annual Dividend $,1.0
Annual Dividend %,0.015300000000000001
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.4
Bid,26.38
Bid Size,
Closing Price,65.53
Day Change $,0.41
Day Change %,0.0063
Day High,66.12
Day Low,64.74
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-0.24
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.278
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,65.12
Short Interest,0.016
Today's Open,65.34
Volume,172211.0
Volume 10-day Avg,207417.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.17112299465240643
Growth 1yr High Est,-0.0841121495327104
Growth 1yr Consensus Est,-0.12761757209255842
Growth 2yr Low Est,0.04024495428669994
Growth 2yr High Est,-0.029300972725538887
Growth 2yr Consensus Est,0.005471990780580527
Growth 5yr Low Est,0.12428914381001666
Growth 5yr High Est,0.11749237078008773
Growth 5yr Consensus Est,0.12089075729505219
Growth 5yr Actual/Est,0.13122777998710625
Growth 3yr Historic,0.1246851629402875
Price/Earnings (TTM),
Price/Sales (TTM),4.38755
Price/Book (MRQ),2.82115
Price/Cash Flow (TTM),34.50292
5yr Low,35.25
5yr High,72.08
5yr Avg Return,0.07400000000000001
EPS Growth 5yr,-0.2874727
Revenue Growth 5yr,0.0535353
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,871530.0
Short Int Prev Month,1160155.0
Short Int Pct of Float,0.0160484
Days to Cover,4.03529
Float,54.30277
Shares Outstanding,54.824
Institutions Holding Shares,380.0
FCF Growth 5yr,0.48745574519031226
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.633
Operating Profit Margin (TTM),0.1356
Net Profit Margin (TTM),-0.015
Annual Dividend Yield,0.015300000000000001
Dividend Change %,0.0824
"Dividend Growth Rate, 3 Years",0.0705
EPS Growth (MRQ),1.8676
EPS Growth (TTM),-3.3414
Revenue Growth (MRQ),0.2915
Revenue Growth (TTM),0.015
Return On Equity (TTM),-0.0097
Return On Assets (TTM),-0.0033000000000000004
Return On Investment (TTM),-0.0036
Revenue Per Employee (TTM),692741.0
Total Debt/Total Capital (MRQ),0.4692
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.02
Interest Coverage (MRQ),5.74
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-25 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-10 00:00:00
