,ALKT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.66,9.39,Valuation,0.6027689030883919
Price/Book (MRQ),3.3,12.63,Valuation,0.26128266033254155
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5377000000000001,0.7206,Profitability,0.7461837357757425
Operating Profit Margin (TTM),-0.34159999999999996,0.2172,Profitability,-1.5727440147329648
Net Profit Margin (TTM),-0.3507,0.1553,Profitability,-2.2582099162910496
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0143,-0.0752,Gowth rates,-0.1901595744680851
EPS Growth (TTM),-0.3675,-0.2824,Gowth rates,1.3013456090651558
Revenue Growth (MRQ),0.057,0.15560000000000002,Gowth rates,0.3663239074550128
Revenue Growth (TTM),0.33640000000000003,0.1906,Gowth rates,1.76495278069255
Return On Equity (TTM),-0.1991,0.2189,Effectiveness,-0.9095477386934673
Return On Assets (TTM),-0.1446,0.10740000000000001,Effectiveness,-1.3463687150837989
Return On Investment (TTM),-0.1576,0.1387,Effectiveness,-1.1362653208363374
Revenue Per Employee (TTM),286607.0,667721.0,Effectiveness,0.42923167011371516
Total Debt/Total Capital (MRQ),0.20500000000000002,0.39659999999999995,Financial strength,0.5168935955622794
Change in Debt/Total Capital Quarter over Quarter,0.0209,0.0004,Financial strength,52.24999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-48.55,0.28,Financial strength,-173.3928571428571
