,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,24.73,21.01,,,,,
low,16.39,10.07,,,,,
change,-0.0408,-0.32030000000000003,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,293.0,308.0,352.0,390.0,Balance Sheet
Short Term Investments,,,1.0,1.0,1.0,0.0,Balance Sheet
Cash and Short Term Invs,,,294.0,309.0,353.0,390.0,Balance Sheet
"Trade Accts Recvble, Gross",,,157.0,149.0,146.0,152.0,Balance Sheet
Prov. for Doubtful Accts,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,156.0,148.0,144.0,151.0,Balance Sheet
Other Receivables,,,2.0,2.0,2.0,3.0,Balance Sheet
"Total Receivables, Net",,,158.0,150.0,146.0,154.0,Balance Sheet
Prepaid Expenses,,,14.0,19.0,23.0,27.0,Balance Sheet
"Other Curr. Assets, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,466.0,478.0,523.0,571.0,Balance Sheet
Buildings,,,3.0,3.0,3.0,3.0,Balance Sheet
Machinery/Equipment,,,283.0,292.0,299.0,305.0,Balance Sheet
Other Prop./Plant/Equip.,,,,16.0,16.0,14.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,286.0,311.0,318.0,322.0,Balance Sheet
Accumulated Depreciation,,,-131.0,-148.0,-165.0,-183.0,Balance Sheet
Prop./Plant/Equip. - Net,,,154.0,162.0,153.0,140.0,Balance Sheet
"Goodwill, Net",,,794.0,803.0,797.0,792.0,Balance Sheet
Intangibles - Gross,,,611.0,616.0,612.0,560.0,Balance Sheet
Accum. Intangible Amort.,,,-146.0,-163.0,-179.0,-146.0,Balance Sheet
Intangibles - Net,,,464.0,453.0,433.0,413.0,Balance Sheet
Other Long Term Assets,,,6.0,6.0,5.0,4.0,Balance Sheet
Total Assets,,,1887.0,1903.0,1911.0,1922.0,Balance Sheet
Accounts Payable,,,54.0,51.0,50.0,52.0,Balance Sheet
Accrued Expenses,,,52.0,44.0,48.0,47.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,1.0,1.0,0.0,Balance Sheet
Customer Advances,,,1.0,1.0,1.0,1.0,Balance Sheet
Income Taxes Payable,,,3.0,3.0,3.0,2.0,Balance Sheet
"Other Curr. Lblts, Total",,,3.0,4.0,3.0,3.0,Balance Sheet
Total Current Liabilities,,,109.0,100.0,101.0,102.0,Balance Sheet
Long Term Debt,,,555.0,555.0,556.0,556.0,Balance Sheet
Capital Lease Obligations,,,,0.0,0.0,0.0,Balance Sheet
Total Long Term Debt,,,555.0,555.0,556.0,556.0,Balance Sheet
Total Debt,,,555.0,556.0,556.0,557.0,Balance Sheet
Deferred Income Tax,,,85.0,86.0,88.0,91.0,Balance Sheet
"Other Liabilities, Total",,,6.0,15.0,15.0,13.0,Balance Sheet
Total Liabilities,,,754.0,757.0,760.0,762.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1165.0,1168.0,1170.0,1174.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-31.0,-18.0,-4.0,11.0,Balance Sheet
"Other Equity, Total",,,-2.0,-3.0,-14.0,-25.0,Balance Sheet
Total Equity,,,1132.0,1146.0,1152.0,1160.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1887.0,1903.0,1911.0,1922.0,Balance Sheet
Ttl Comm. Shares Outs.,,,153.0,153.0,153.0,153.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,212532.0,189881.0,201561.0,205986.0,Income Statement
"Cost of Revenue, Total",,,107206.0,96431.0,100292.0,104300.0,Income Statement
Selling/Gen/Admin Expense,,,38811.0,40733.0,42416.0,39554.0,Income Statement
Labor & Related Expense,,,4874.0,1585.0,1666.0,1730.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,43685.0,42318.0,44082.0,41284.0,Income Statement
Depreciation/Amortization,,,36322.0,34034.0,34407.0,34744.0,Income Statement
Unusual Expense (Income),,,0.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,187213.0,172783.0,178781.0,180328.0,Income Statement
Total Operating Income,,,25319.0,17098.0,22780.0,25658.0,Income Statement
"Inter Expse,Net Non-Operat",,,-3107.0,-900.0,-10.0,-5.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,10.0,1750.0,,,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,-3102.0,-1735.0,Income Statement
"Other, Net",,,0.0,,,,Income Statement
Income Before Tax,,,22222.0,17948.0,19668.0,23918.0,Income Statement
Income Tax - Total,,,6837.0,4935.0,5432.0,6709.0,Income Statement
Income After Tax,,,15385.0,13013.0,14236.0,17209.0,Income Statement
Net Inc Before Extra Items,,,15385.0,13013.0,14236.0,17209.0,Income Statement
Total Net Income,,,15385.0,13013.0,14236.0,17209.0,Income Statement
Income Available to Common Excl. Extra. Items,,,15385.0,13013.0,14236.0,17209.0,Income Statement
Income Available to Common Incl. Extra. Items,,,15385.0,13013.0,14236.0,17209.0,Income Statement
Basic/Primary Weighted Average Shares,,,150225.0,150539.0,150748.0,150930.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.1,0.09,0.09,0.11,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.1,0.09,0.09,0.11,Income Statement
Diluted Weighted Average Shares,,,152238.0,152349.0,152360.0,152357.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.1,0.09,0.09,0.11,Income Statement
Diluted EPS Incl. Extra. Items,,,0.1,0.09,0.09,0.11,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,3107.0,900.0,10.0,5.0,Income Statement
"Depreciat/Amort, Suppl",,,18000.0,16834.0,17307.0,17744.0,Income Statement
Total Special Items,,,2804.0,609.0,1704.0,1764.0,Income Statement
Normalzd Income Before Tax,,,25026.0,18557.0,21372.0,25682.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,863.0,167.0,471.0,495.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,7700.0,5102.0,5903.0,7204.0,Income Statement
Normalized Income After Tax,,,17326.0,13455.0,15469.0,18478.0,Income Statement
Normalzd Inc Avail to Common,,,17326.0,13455.0,15469.0,18478.0,Income Statement
Basic Normalized EPS,,,0.12,0.09,0.1,0.12,Income Statement
Diluted Normalized EPS,,,0.11,0.09,0.1,0.12,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,16051.0,13013.0,27249.0,44458.0,Cash Flow
Depreciation/Depletion,,,142815.0,34034.0,68441.0,103185.0,Cash Flow
Deferred Taxes,,,-2924.0,1698.0,3773.0,5536.0,Cash Flow
Unusual Items,,,11730.0,-5097.0,-7216.0,-11179.0,Cash Flow
Other Non-Cash Items,,,37729.0,1709.0,4613.0,7280.0,Cash Flow
Non-Cash Items,,,49459.0,-3388.0,-2603.0,-3899.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,10361.0,1713.0,6181.0,11321.0,Cash Flow
"Cash Interest Pd, Suppl",,,23029.0,4774.0,10191.0,17640.0,Cash Flow
Accounts Receivable,,,-40842.0,8862.0,11199.0,3063.0,Cash Flow
Prepaid Expenses,,,-5430.0,1151.0,38.0,700.0,Cash Flow
Other Assets,,,-5072.0,,,,Cash Flow
Accounts Payable,,,7516.0,-1329.0,-2748.0,165.0,Cash Flow
Accrued Expenses,,,8541.0,-13620.0,-9376.0,-10110.0,Cash Flow
Changes in Working Capital,,,-56724.0,-3774.0,-448.0,-6438.0,Cash Flow
Total Cash from Operations,,,148677.0,41583.0,96412.0,142842.0,Cash Flow
Capital Expenditures,,,-23798.0,-7552.0,-15401.0,-22354.0,Cash Flow
Acquisition of Business,,,-48934.0,-18920.0,-19044.0,-19044.0,Cash Flow
Sale of Fixed Assets,,,,,82.0,46.0,Cash Flow
"Investment, Net",,,305.0,0.0,0.0,826.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-48629.0,-18920.0,-18962.0,-18172.0,Cash Flow
Total Cash from Investing,,,-72427.0,-26472.0,-34363.0,-40526.0,Cash Flow
Financing Cash Flow Items,,,-5996.0,-349.0,-624.0,-704.0,Cash Flow
"Common Stock, Net",,,320800.0,,0.0,-2248.0,Cash Flow
Options Exercised,,,-258.0,547.0,1270.0,2798.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,320542.0,547.0,1270.0,550.0,Cash Flow
Long Term Debt Issued,,,261413.0,0.0,0.0,0.0,Cash Flow
Long Term Debt Reduction,,,-512111.0,-238.0,-459.0,-673.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,-250698.0,-238.0,-459.0,-673.0,Cash Flow
Total Cash From Financing,,,63848.0,-40.0,187.0,-827.0,Cash Flow
Foreign Exchange Effects,,,-278.0,58.0,-2546.0,-3879.0,Cash Flow
Net Change in Cash,,,139820.0,15129.0,59690.0,97610.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,152970.0,292790.0,292790.0,292790.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,292790.0,307919.0,352480.0,390400.0,Cash Flow
"Depreciation, Supplemental",,,142815.0,34034.0,68441.0,103185.0,Cash Flow
Free Cash Flow,,,124879.0,34031.0,81011.0,120488.0,
FCF Growth,,,,-0.7274882085859111,1.3805060092268815,0.4873041932577058,
