,WIRE
Price/Earnings (TTM),4.18691
Price/Sales (TTM),0.90637
Price/Book (MRQ),1.61657
Price/Cash Flow (TTM),3.73578
5yr Low,38.01
5yr High,155.36
5yr Avg Return,0.2718833333333333
EPS Growth 5yr,0.7431858
Revenue Growth 5yr,0.22476459999999998
Dividend Growth 5yr,0.0
Short Int Current Month,2573946.0
Short Int Prev Month,2588868.0
Short Int Pct of Float,0.1459827
Days to Cover,12.77836
Float,17.63186
Shares Outstanding,18.34258
Institutions Holding Shares,389.0
% Held by Institutions,1.006481
FCF Growth 5yr,0.4635348203103946
