,WIRE
% Below High,0.0788
% Held by Institutions,1.0065
52-Wk Range,['94.39 - 155.36']
Annual Dividend $,0.08
Annual Dividend %,0.0005
Ask,143.92
Ask Size,100.0
B/A Ratio,13.0
B/A Size,1300x100
Beta,1.3
Bid,142.67
Bid Size,1300.0
Closing Price,143.11
Day Change $,-5.7
Day Change %,-0.0383
Day High,148.0
Day Low,141.57
Dividend Pay Date,2023-01-20 00:00:00
"EPS (TTM, GAAP)",35.54
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.537
Last (size),4.0
Last (time),3:59p ET 11/28/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.19
Prev Close,148.81
Short Interest,0.146
Today's Open,147.21
Volume,241494.0
Volume 10-day Avg,154791.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5373313343328336
Growth 2yr High Est,-0.5301542776998598
Growth 2yr Consensus Est,-0.5337428060163467
Growth 5yr Low Est,-0.5373313343328336
Growth 5yr High Est,-0.5301542776998598
Growth 5yr Consensus Est,-0.5337428060163467
Growth 5yr Actual/Est,1.5589215352185202
Growth 3yr Historic,1.6133799638989168
Price/Earnings (TTM),4.18691
Price/Sales (TTM),0.90637
Price/Book (MRQ),1.61657
Price/Cash Flow (TTM),3.73578
5yr Low,38.01
5yr High,155.36
5yr Avg Return,0.2718833333333333
EPS Growth 5yr,0.7431858
Revenue Growth 5yr,0.22476459999999998
Dividend Growth 5yr,0.0
Short Int Current Month,2573946.0
Short Int Prev Month,2588868.0
Short Int Pct of Float,0.1459827
Days to Cover,12.77836
Float,17.63186
Shares Outstanding,18.34258
Institutions Holding Shares,389.0
FCF Growth 5yr,0.4635348203103946
"Price/Earnings (TTM, GAAP)",4.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.365
Operating Profit Margin (TTM),0.3004
Net Profit Margin (TTM),0.2343
Annual Dividend Yield,0.0005
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.06910000000000001
EPS Growth (TTM),0.7352
Revenue Growth (MRQ),-0.09050000000000001
Revenue Growth (TTM),0.31760000000000005
Return On Equity (TTM),0.488
Return On Assets (TTM),0.43060000000000004
Return On Investment (TTM),0.4746
Revenue Per Employee (TTM),2091335.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),7.64
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2020-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
marketEdge opinion since,
