,GTN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.14,15.8,Valuation,0.26202531645569616
Price/Sales (TTM),0.3,2.92,Valuation,0.10273972602739725
Price/Book (MRQ),0.52,3.23,Valuation,0.1609907120743034
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.363,0.5389,Profitability,0.6735943588791983
Operating Profit Margin (TTM),0.2202,0.14,Profitability,1.5728571428571427
Net Profit Margin (TTM),0.08960000000000001,0.1103,Profitability,0.8123300090661832
Annual Dividend Yield,0.0294,0.0176,Dividend,1.6704545454545452
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),0.12869999999999998,0.7041,Gowth rates,0.1827865360034086
EPS Growth (TTM),0.0936,0.0154,Gowth rates,6.077922077922078
Revenue Growth (MRQ),0.0472,0.1423,Gowth rates,0.33169360505973294
Revenue Growth (TTM),0.3386,0.1115,Gowth rates,3.0367713004484305
Return On Equity (TTM),0.1332,0.1409,Effectiveness,0.9453513129879348
Return On Assets (TTM),0.031400000000000004,0.0388,Effectiveness,0.809278350515464
Return On Investment (TTM),0.0327,0.049800000000000004,Effectiveness,0.6566265060240963
Revenue Per Employee (TTM),386269.0,648551.0,Effectiveness,0.595587702432037
Total Debt/Total Capital (MRQ),0.7190000000000001,0.5946,Financial strength,1.2092162798520014
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.0004,Financial strength,3.75
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),2.61,5.53,Financial strength,0.47197106690777574
