,BG
% Above Low,0.2658
% Held by Institutions,0.8543999999999999
52-Wk Range,['80.41 - 128.40']
Annual Dividend $,2.5
Annual Dividend %,0.0246
Ask,104.42
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,101.8
Bid Size,100.0
Closing Price,101.78
Day Change $,0.6
Day Change %,0.0059
Day High,103.13
Day Low,101.53
Dividend Pay Date,2023-03-02 00:00:00
"EPS (TTM, GAAP)",9.76
Ex-dividend,2023-02-15 00:00:00
Ex-dividend Date,02/15/23
Historical Volatility,0.33299999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,15.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.42
Prev Close,101.18
Short Interest,0.0173
Today's Open,101.82
Volume,544650.0
Volume 10-day Avg,1136323.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1802067946824224
Growth 2yr High Est,-0.10610263522884877
Growth 2yr Consensus Est,-0.1431547149556356
Growth 5yr Low Est,-0.1802067946824224
Growth 5yr High Est,-0.10610263522884877
Growth 5yr Consensus Est,-0.1431547149556356
Growth 5yr Actual/Est,0.3259318994431998
Growth 3yr Historic,0.34251459988425315
Price/Earnings (TTM),10.4234
Price/Sales (TTM),0.2267
Price/Book (MRQ),1.53121
Price/Cash Flow (TTM),7.86316
5yr Low,29.0
5yr High,128.4
5yr Avg Return,0.09036666666666666
EPS Growth 5yr,0.2259659
Revenue Growth 5yr,0.06745860000000001
Dividend Growth 5yr,0.0508162
Short Int Current Month,2570552.0
Short Int Prev Month,2833246.0
Short Int Pct of Float,0.0172712
Days to Cover,1.85491
Float,148.7904
Shares Outstanding,149.8002
Institutions Holding Shares,860.0
FCF Growth 5yr,0.22744276232773955
"Price/Earnings (TTM, GAAP)",10.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.056600000000000004
Operating Profit Margin (TTM),0.0332
Net Profit Margin (TTM),0.022799999999999997
Annual Dividend Yield,0.0246
Dividend Change %,0.025
"Dividend Growth Rate, 3 Years",0.0221
EPS Growth (MRQ),0.8647
EPS Growth (TTM),-0.3778
Revenue Growth (MRQ),-0.0655
Revenue Growth (TTM),0.2211
Return On Equity (TTM),0.1929
Return On Assets (TTM),0.06280000000000001
Return On Investment (TTM),0.11220000000000001
Revenue Per Employee (TTM),3057046.0
Total Debt/Total Capital (MRQ),0.3523
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),6.11
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
cfra since,2018-05-03 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-27 00:00:00
