,BG
Price/Earnings (TTM),10.4234
Price/Sales (TTM),0.2267
Price/Book (MRQ),1.53121
Price/Cash Flow (TTM),7.86316
5yr Low,29.0
5yr High,128.4
5yr Avg Return,0.09036666666666666
EPS Growth 5yr,0.2259659
Revenue Growth 5yr,0.06745860000000001
Dividend Growth 5yr,0.0508162
Short Int Current Month,2570552.0
Short Int Prev Month,2833246.0
Short Int Pct of Float,0.0172712
Days to Cover,1.85491
Float,148.7904
Shares Outstanding,149.8002
Institutions Holding Shares,860.0
% Held by Institutions,0.8543949999999999
FCF Growth 5yr,0.22744276232773955
