,PCAR
% Below High,0.0236
% Held by Institutions,0.6378
52-Wk Range,['77.00 - 107.18']
Annual Dividend $,1.48
Annual Dividend %,0.0141
Ask,104.66
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,104.64
Bid Size,100.0
Day Change $,-0.38
Day Change %,-0.0036
Day High,104.94
Day Low,104.51
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",7.46
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.269
Last (size),100.0
Last (time),10:15a ET 11/28/22
Market Cap,36.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.08
Prev Close,105.03
Price,104.65
Short Interest,0.011899999999999999
Today's Open,104.7
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.4784313725490197
Growth 1yr High Est,0.5377532228360957
Growth 1yr Consensus Est,0.5080922976925577
Growth 2yr Low Est,0.19014406823737456
Growth 2yr High Est,0.3119903838731377
Growth 2yr Consensus Est,0.2510672260552561
Growth 5yr Low Est,0.08793585009919452
Growth 5yr High Est,0.1368194443125454
Growth 5yr Consensus Est,0.11237764720586996
Growth 5yr Actual/Est,0.11988391628107084
Growth 3yr Historic,-0.008286045660820918
Price/Earnings (TTM),14.07898
Price/Sales (TTM),1.33422
Price/Book (MRQ),2.833
Price/Cash Flow (TTM),10.81388
5yr Low,49.11
5yr High,107.18
5yr Avg Return,0.09013333333333334
EPS Growth 5yr,0.2909
Revenue Growth 5yr,0.06669
Dividend Growth 5yr,0.127298
Short Int Current Month,4077818.0
Short Int Prev Month,3257492.0
Short Int Pct of Float,0.011934400000000001
Days to Cover,1.78843
Float,341.7289
Shares Outstanding,347.7676
Institutions Holding Shares,1014.0
FCF Growth 5yr,1.0300208084959148
"Price/Earnings (TTM, GAAP)",14.08
"PEG Ratio (TTM, GAAP)",0.89
Gross Profit Margin (TTM),0.18309999999999998
Operating Profit Margin (TTM),0.1225
Net Profit Margin (TTM),0.095
Annual Dividend Yield,0.0141
Dividend Change %,1.2187999999999999
"Dividend Growth Rate, 3 Years",0.376
EPS Growth (MRQ),0.0677
EPS Growth (TTM),0.48210000000000003
Revenue Growth (MRQ),-0.0139
Revenue Growth (TTM),0.22190000000000001
Return On Equity (TTM),0.21480000000000002
Return On Assets (TTM),0.0889
Return On Investment (TTM),0.1063
Revenue Per Employee (TTM),960572.0
Total Debt/Total Capital (MRQ),0.446
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),3.9
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-04-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-25 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
