,REVG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",324.51,24.01,Valuation,13.515618492294875
Price/Sales (TTM),0.36,3.06,Valuation,0.11764705882352941
Price/Book (MRQ),1.85,7.44,Valuation,0.24865591397849462
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.107,0.32799999999999996,Profitability,0.32621951219512196
Operating Profit Margin (TTM),0.0129,0.0198,Profitability,0.6515151515151515
Net Profit Margin (TTM),0.001,-0.0086,Profitability,-0.11627906976744186
Annual Dividend Yield,0.0143,0.0143,Dividend,1.0
Dividend Change %,-0.3333,0.1666,Dividend,-2.0006002400960385
"Dividend Growth Rate, 3 Years",-0.20629999999999998,0.0885,Dividend,-2.3310734463276837
EPS Growth (MRQ),5.2504,0.3518,Gowth rates,14.924388857305287
EPS Growth (TTM),-0.9158,0.16149999999999998,Gowth rates,-5.670588235294118
Revenue Growth (MRQ),0.032100000000000004,0.196,Gowth rates,0.16377551020408165
Revenue Growth (TTM),-0.0454,0.1475,Gowth rates,-0.30779661016949156
Return On Equity (TTM),0.0047,0.2859,Effectiveness,0.016439314445610354
Return On Assets (TTM),0.0018,0.0851,Effectiveness,0.021151586368977675
Return On Investment (TTM),0.0029,0.12490000000000001,Effectiveness,0.023218574859887906
Revenue Per Employee (TTM),337941.0,343373.0,Effectiveness,0.9841804684701476
Total Debt/Total Capital (MRQ),0.3582,0.6352000000000001,Financial strength,0.5639168765743072
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0189,Financial strength,-0.031746031746031744
Quick Ratio (MRQ),0.48,1.07,Financial strength,0.44859813084112143
Interest Coverage (MRQ),4.84,20.9,Financial strength,0.23157894736842105
