,REVG
% Below High,0.1875
% Held by Institutions,0.9959
52-Wk Range,['9.50 - 16.91']
Annual Dividend $,0.2
Annual Dividend %,0.0143
Ask,13.76
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,2.0
Bid,13.72
Bid Size,400.0
Day Change $,-0.23
Day Change %,-0.0165
Day High,14.0
Day Low,13.71
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",0.04
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.54
Last (size),100.0
Last (time),12:35p ET 11/28/22
Market Cap,815.4M
"P/E Ratio (TTM, GAAP)",324.51
Prev Close,13.97
Price,13.74
Short Interest,0.044800000000000006
Today's Open,13.91
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.4017857142857143
Growth 1yr High Est,-0.3170731707317074
Growth 1yr Consensus Est,-0.35942944250871084
Growth 2yr Low Est,0.0005996801705756005
Growth 2yr High Est,0.06765389082462248
Growth 2yr Consensus Est,0.03412678549759904
Growth 5yr Low Est,0.0005996801705756005
Growth 5yr High Est,0.06765389082462248
Growth 5yr Consensus Est,0.03412678549759904
Growth 5yr Actual/Est,1.5907084949364363
Growth 3yr Historic,1.5614583333333334
Price/Earnings (TTM),324.5064
Price/Sales (TTM),0.36064
Price/Book (MRQ),1.8505
Price/Cash Flow (TTM),23.47733
5yr Low,3.5
5yr High,33.15
5yr Avg Return,0.06195000000000001
EPS Growth 5yr,0.0557713
Revenue Growth 5yr,0.04331
Dividend Growth 5yr,
Short Int Current Month,1376149.0
Short Int Prev Month,1496037.0
Short Int Pct of Float,0.0448413
Days to Cover,9.84539
Float,30.6893
Shares Outstanding,59.32353
Institutions Holding Shares,159.0
FCF Growth 5yr,-1.0197923291370543
"Price/Earnings (TTM, GAAP)",324.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.107
Operating Profit Margin (TTM),0.0129
Net Profit Margin (TTM),0.001
Annual Dividend Yield,0.0143
Dividend Change %,-0.3333
"Dividend Growth Rate, 3 Years",-0.20629999999999998
EPS Growth (MRQ),5.2504
EPS Growth (TTM),-0.9158
Revenue Growth (MRQ),0.032100000000000004
Revenue Growth (TTM),-0.0454
Return On Equity (TTM),0.0047
Return On Assets (TTM),0.0018
Return On Investment (TTM),0.0029
Revenue Per Employee (TTM),337941.0
Total Debt/Total Capital (MRQ),0.3582
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.48
Interest Coverage (MRQ),4.84
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-03-05 00:00:00
theStreet since,2022-03-25 00:00:00
ford since,2021-09-10 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
