,SFM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.61,32.14,Valuation,0.45457373988799
Price/Sales (TTM),0.56,0.72,Valuation,0.7777777777777779
Price/Book (MRQ),3.42,8.68,Valuation,0.39400921658986177
"PEG Ratio (TTM, GAAP)",1.67,0.86,Valuation,1.941860465116279
Gross Profit Margin (TTM),0.3653,0.20010000000000003,Profitability,1.8255872063968015
Operating Profit Margin (TTM),0.055,0.033,Profitability,1.6666666666666665
Net Profit Margin (TTM),0.039900000000000005,0.0192,Profitability,2.0781250000000004
Annual Dividend Yield,,0.0138,Dividend,
Dividend Change %,,0.0572,Dividend,
"Dividend Growth Rate, 3 Years",,0.053899999999999997,Dividend,
EPS Growth (MRQ),0.0753,-0.6058,Gowth rates,-0.1242984483327831
EPS Growth (TTM),-0.028300000000000002,0.3755,Gowth rates,-0.07536617842876166
Revenue Growth (MRQ),-0.0028000000000000004,0.1126,Gowth rates,-0.024866785079928955
Revenue Growth (TTM),0.018000000000000002,0.10740000000000001,Gowth rates,0.1675977653631285
Return On Equity (TTM),0.25120000000000003,0.2335,Effectiveness,1.0758029978586725
Return On Assets (TTM),0.0849,0.0572,Effectiveness,1.4842657342657344
Return On Investment (TTM),0.1027,0.1033,Effectiveness,0.9941916747337851
Revenue Per Employee (TTM),203886.0,518753.0,Effectiveness,0.39303098006180204
Total Debt/Total Capital (MRQ),0.2,0.3837,Financial strength,0.5212405525149857
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0003,Financial strength,-1.0
Quick Ratio (MRQ),0.71,0.36,Financial strength,1.972222222222222
Interest Coverage (MRQ),47.41,5.73,Financial strength,8.273996509598602
