,SFM
% Below High,0.042699999999999995
% Held by Institutions,1.0743
52-Wk Range,['22.56 - 35.34']
Annual Dividend $,
Annual Dividend %,
Ask,33.84
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,0.4
Bid,33.82
Bid Size,500.0
Day Change $,0.44
Day Change %,0.0132
Day High,34.17
Day Low,33.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.29
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),100.0
Last (time),2:02p ET 11/28/22
Market Cap,3.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.61
Prev Close,33.39
Price,33.83
Short Interest,0.1364
Today's Open,33.18
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.1391752577319587
Growth 1yr High Est,0.107981220657277
Growth 1yr Consensus Est,0.12357823919461786
Growth 2yr Low Est,-0.03448476932406591
Growth 2yr High Est,0.09000755948118089
Growth 2yr Consensus Est,0.027761395078557488
Growth 5yr Low Est,-0.03448476932406591
Growth 5yr High Est,0.09000755948118089
Growth 5yr Consensus Est,0.027761395078557488
Growth 5yr Actual/Est,0.23801402608412628
Growth 3yr Historic,0.2020493827160494
Price/Earnings (TTM),14.61109
Price/Sales (TTM),0.5592
Price/Book (MRQ),3.41627
Price/Cash Flow (TTM),9.31462
5yr Low,13.0
5yr High,35.34
5yr Avg Return,0.08803333333333332
EPS Growth 5yr,0.2042129
Revenue Growth 5yr,0.0855521
Dividend Growth 5yr,
Short Int Current Month,14359349.0
Short Int Prev Month,14402355.0
Short Int Pct of Float,0.13640090000000002
Days to Cover,6.48026
Float,103.6191
Shares Outstanding,105.8525
Institutions Holding Shares,495.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",14.61
"PEG Ratio (TTM, GAAP)",1.67
Gross Profit Margin (TTM),0.3653
Operating Profit Margin (TTM),0.055
Net Profit Margin (TTM),0.039900000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0753
EPS Growth (TTM),-0.028300000000000002
Revenue Growth (MRQ),-0.0028000000000000004
Revenue Growth (TTM),0.018000000000000002
Return On Equity (TTM),0.25120000000000003
Return On Assets (TTM),0.0849
Return On Investment (TTM),0.1027
Revenue Per Employee (TTM),203886.0
Total Debt/Total Capital (MRQ),0.2
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),47.41
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-02-10 00:00:00
theStreet since,2020-05-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-02-10 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
