,AHCO
% Below High,0.20920000000000002
% Held by Institutions,0.8190999999999999
52-Wk Range,['11.40 - 27.48']
Annual Dividend $,
Annual Dividend %,
Ask,23.6
Ask Size,200.0
B/A Ratio,22.5
B/A Size,4500x200
Beta,0.6
Bid,19.45
Bid Size,4500.0
Closing Price,21.73
Day Change $,0.13
Day Change %,0.006
Day High,22.04
Day Low,21.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.64
Ex-dividend Date,No dividend
Historical Volatility,0.6
Last (size),22.0
Last (time),12:59p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",34.14
Prev Close,21.6
Short Interest,0.12179999999999999
Today's Open,21.57
Volume,195285.0
Volume 10-day Avg,788551.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.4285714285714286
Growth 2yr High Est,0.9529411764705882
Growth 2yr Consensus Est,0.6907563025210084
Growth 5yr Low Est,0.4285714285714286
Growth 5yr High Est,0.9529411764705882
Growth 5yr Consensus Est,0.6907563025210084
Growth 5yr Actual/Est,0.014685084473338217
Growth 3yr Historic,-0.17026977087952705
Price/Earnings (TTM),34.14197
Price/Sales (TTM),1.0122
Price/Book (MRQ),1.35131
Price/Cash Flow (TTM),6.90195
5yr Low,7.82
5yr High,41.58
5yr Avg Return,0.425
Short Int Current Month,10165562.0
Short Int Prev Month,10440270.0
Short Int Pct of Float,0.1217642
Days to Cover,8.63169
Float,88.30751
Shares Outstanding,134.7317
Institutions Holding Shares,260.0
FCF Growth 5yr,-0.9517434620174345
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",34.14
"PEG Ratio (TTM, GAAP)",1.18
Gross Profit Margin (TTM),0.1753
Operating Profit Margin (TTM),0.0786
Net Profit Margin (TTM),0.0339
EPS Growth (MRQ),0.1444
EPS Growth (TTM),1.3981000000000001
Revenue Growth (MRQ),0.039700000000000006
Revenue Growth (TTM),0.3768
Return On Equity (TTM),0.042
Return On Assets (TTM),0.0188
Return On Investment (TTM),0.020800000000000003
Revenue Per Employee (TTM),270319.0
Total Debt/Total Capital (MRQ),0.504
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.08
Interest Coverage (MRQ),1.96
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-26 00:00:00
ford since,2022-08-26 00:00:00
cfra since,
theStreet since,2022-08-03 00:00:00
newConstructs since,
marketEdge opinion since,
