,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.0,12.77,39.76,41.58,27.48,,,,,
low,9.6,7.82,10.29,18.24,11.4,,,,,
change,0.0134,0.1159,2.4649,-0.3561,-0.1131,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,150.0,119.0,119.0,111.0,Balance Sheet
"Total Receivables, Net",,,,,,360.0,370.0,355.0,358.0,Balance Sheet
Total Inventory,,,,,,123.0,100.0,103.0,125.0,Balance Sheet
Prepaid Expenses,,,,,,37.0,26.0,28.0,37.0,Balance Sheet
Total Current Assets,,,,,,670.0,615.0,605.0,632.0,Balance Sheet
Machinery/Equipment,,,,,,36.0,33.0,43.0,36.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,732.0,822.0,861.0,924.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,768.0,856.0,904.0,960.0,Balance Sheet
Accumulated Depreciation,,,,,,-222.0,-289.0,-314.0,-358.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,546.0,567.0,591.0,602.0,Balance Sheet
"Goodwill, Net",,,,,,3513.0,3515.0,3516.0,3525.0,Balance Sheet
Intangibles - Gross,,,,,,255.0,255.0,255.0,255.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-53.0,-63.0,-73.0,-83.0,Balance Sheet
Intangibles - Net,,,,,,202.0,192.0,183.0,173.0,Balance Sheet
Other Long Term Assets,,,,,,15.0,15.0,16.0,20.0,Balance Sheet
Total Assets,,,,,,5250.0,5204.0,5202.0,5238.0,Balance Sheet
Accounts Payable,,,,,,248.0,213.0,198.0,238.0,Balance Sheet
Payable/Accrued,,,,,,46.0,54.0,59.0,48.0,Balance Sheet
Accrued Expenses,,,,,,96.0,80.0,87.0,89.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,35.0,29.0,29.0,33.0,Balance Sheet
Customer Advances,,,,,,31.0,31.0,31.0,32.0,Balance Sheet
Other Current Liabilities,,,,,,43.0,38.0,30.0,27.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,75.0,68.0,62.0,59.0,Balance Sheet
Total Current Liabilities,,,,,,500.0,444.0,435.0,467.0,Balance Sheet
Long Term Debt,,,,,,2184.0,2180.0,2171.0,2162.0,Balance Sheet
Capital Lease Obligations,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Long Term Debt,,,,,,2184.0,2180.0,2171.0,2162.0,Balance Sheet
Total Debt,,,,,,2219.0,2208.0,2200.0,2195.0,Balance Sheet
Minority Interest,,,,,,5.0,5.0,4.0,6.0,Balance Sheet
"Other Liabilities, Total",,,,,,500.0,460.0,458.0,449.0,Balance Sheet
Total Liabilities,,,,,,3189.0,3089.0,3069.0,3084.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,2107.0,2113.0,2119.0,2126.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-43.0,-1.0,13.0,29.0,Balance Sheet
Treasury Stock - Common,,,,,,,,-3.0,-14.0,Balance Sheet
"Other Equity, Total",,,,,,-2.0,4.0,5.0,13.0,Balance Sheet
Total Equity,,,,,,2062.0,2115.0,2133.0,2154.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,5250.0,5204.0,5202.0,5238.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,134.0,134.0,134.0,134.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,,,0.0,,,,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,134.0,134.0,134.0,134.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,1.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,,,0.0,,,,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,702.0,706.0,728.0,756.0,Income Statement
"Cost of Revenue, Total",,,,,,579.0,583.0,594.0,630.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,48.0,56.0,58.0,57.0,Income Statement
Depreciation,,,,,,5.0,6.0,6.0,6.0,Income Statement
Amortiz of Intangibles,,,,,,12.0,10.0,10.0,10.0,Income Statement
Depreciation/Amortization,,,,,,17.0,16.0,16.0,16.0,Income Statement
Litigation,,,,,,,,1.0,3.0,Income Statement
Impair-Assets Held for Sale,,,,,,,1.0,,0.0,Income Statement
Other Unusual Expnse (In),,,,,,-11.0,0.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,,,,-11.0,1.0,1.0,3.0,Income Statement
Total Operating Expense,,,,,,633.0,656.0,670.0,706.0,Income Statement
Total Operating Income,,,,,,69.0,50.0,58.0,50.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-26.0,-25.0,-26.0,-29.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,-4.0,27.0,-8.0,-1.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-6.0,-4.0,0.0,3.0,Income Statement
"Other, Net",,,,,,-6.0,-4.0,0.0,3.0,Income Statement
